#BLOCK:      PI_VALUE:         ERROR:
      1      0.0043805      0.0000000
      2      0.0080178      0.0036373
      3      0.0098936      0.0028158
      4      0.0065408      0.0038994
      5      0.0034806      0.0042998
      6      0.0063943      0.0045624
      7      0.0039490      0.0045659
      8      0.0020335      0.0043937
      9      0.0028082      0.0039516
     10     -0.0026084      0.0064677
     11      0.0006297      0.0066866
     12     -0.0022622      0.0067544
     13      0.0031685      0.0082520
     14      0.0001870      0.0082010
     15      0.0023305      0.0079299
     16      0.0015555      0.0074581
     17      0.0026187      0.0070859
     18      0.0022414      0.0066913
     19     -0.0001092      0.0067517
     20     -0.0018395      0.0066348
     21     -0.0008489      0.0063883
     22     -0.0013274      0.0061097
     23     -0.0001260      0.0059604
     24     -0.0004585      0.0057163
     25     -0.0019830      0.0056909
     26     -0.0008435      0.0055852
     27     -0.0016434      0.0054335
     28     -0.0014283      0.0052403
     29     -0.0015682      0.0050583
     30     -0.0018951      0.0048977
     31     -0.0004648      0.0049483
     32      0.0003927      0.0048673
     33      0.0002742      0.0047190
     34     -0.0002027      0.0046029
     35     -0.0007453      0.0045022
     36     -0.0003271      0.0043953
     37     -0.0012566      0.0043748
     38     -0.0002663      0.0043717
     39     -0.0012979      0.0043813
     40     -0.0014026      0.0042717
     41     -0.0009545      0.0041902
     42     -0.0005437      0.0041098
     43     -0.0001828      0.0040293
     44     -0.0000791      0.0039380
     45      0.0001817      0.0038583
     46     -0.0009111      0.0039285
     47      0.0002133      0.0040051
     48      0.0013192      0.0040738
     49      0.0013279      0.0039898
     50      0.0013625      0.0039093
     51      0.0002042      0.0040031
     52     -0.0002936      0.0039568
     53      0.0000447      0.0038962
     54      0.0000030      0.0038236
     55     -0.0001801      0.0037579
     56      0.0004366      0.0037413
     57      0.0002638      0.0036792
     58      0.0007705      0.0036505
     59      0.0002018      0.0036329
     60      0.0001398      0.0035724
     61      0.0007559      0.0035669
     62     -0.0001155      0.0036155
     63     -0.0007666      0.0036167
     64     -0.0003540      0.0035836
     65     -0.0008728      0.0035660
     66     -0.0002778      0.0035616
     67     -0.0004044      0.0035103
     68      0.0001860      0.0035083
     69      0.0000848      0.0034586
     70      0.0002311      0.0034120
     71      0.0007023      0.0033964
     72      0.0000856      0.0034052
     73      0.0004907      0.0033826
     74      0.0000759      0.0033622
     75      0.0002037      0.0033196
     76      0.0008665      0.0033420
     77      0.0003127      0.0033445
     78      0.0011848      0.0034146
     79      0.0016900      0.0034087
     80      0.0016003      0.0033670
     81      0.0011837      0.0033512
     82      0.0008719      0.0033247
     83      0.0012106      0.0033018
     84      0.0014378      0.0032702
     85      0.0017935      0.0032510
     86      0.0020707      0.0032249
     87      0.0016701      0.0032127
     88      0.0016634      0.0031760
     89      0.0009892      0.0032117
     90      0.0009391      0.0031762
     91      0.0012326      0.0031548
     92      0.0017837      0.0031686
     93      0.0016422      0.0031375
     94      0.0011123      0.0031489
     95      0.0014127      0.0031300
     96      0.0022391      0.0032056
     97      0.0022137      0.0031725
     98      0.0023574      0.0031432
     99      0.0024513      0.0031127
    100      0.0025434      0.0030828
