#ITER:    CHI_SQUARE:
     1         86.220
     2        116.780
     3        123.800
     4         92.560
     5         98.020
     6        102.340
     7         92.340
     8        103.160
     9         79.440
    10        123.340
    11         88.900
    12         90.880
    13        106.580
    14         94.460
    15        101.500
    16         85.520
    17        105.000
    18        133.220
    19         96.640
    20         95.160
    21        102.760
    22        107.680
    23        113.900
    24        115.600
    25        113.240
    26        109.420
    27        115.500
    28        104.760
    29        106.860
    30         92.060
    31        132.080
    32        100.280
    33        105.660
    34         99.080
    35         81.880
    36        102.140
    37         88.800
    38         94.560
    39         91.840
    40        108.660
    41        120.680
    42         85.960
    43         85.920
    44         86.640
    45         94.000
    46         88.900
    47        107.420
    48        102.500
    49        113.280
    50        118.880
    51         94.400
    52         90.500
    53         88.860
    54         89.360
    55         75.460
    56         90.920
    57         87.540
    58         84.200
    59        116.440
    60        126.020
    61         89.980
    62         97.860
    63         84.800
    64        100.220
    65         82.340
    66         78.960
    67         87.860
    68        126.680
    69         83.140
    70        108.580
    71        117.260
    72        116.420
    73         81.040
    74         97.440
    75         79.220
    76         99.660
    77        100.220
    78         95.240
    79         89.880
    80        108.240
    81        118.340
    82         97.960
    83         98.520
    84         77.620
    85        106.420
    86         93.260
    87         96.800
    88        113.860
    89         98.060
    90        100.760
    91        105.240
    92         69.200
    93         76.520
    94         84.380
    95        101.040
    96        110.300
    97         87.860
    98         85.200
    99         93.920
   100         87.760
