#BLOCK:       AVERAGE:         ERROR:
      1      0.0063942      0.0000000
      2      0.0054188      0.0009754
      3      0.0065307      0.0012464
      4      0.0036596      0.0030034
      5      0.0021908      0.0027513
      6      0.0008544      0.0026139
      7      0.0035360      0.0034744
      8      0.0040524      0.0030529
      9      0.0035834      0.0027330
     10      0.0012142      0.0034041
     11     -0.0000150      0.0033155
     12      0.0001595      0.0030316
     13      0.0005128      0.0028110
     14      0.0003190      0.0026097
     15      0.0000686      0.0024423
     16      0.0020892      0.0030500
     17      0.0019552      0.0028681
     18      0.0020297      0.0027051
     19      0.0024095      0.0025868
     20      0.0022394      0.0024600
     21      0.0021934      0.0023403
     22      0.0026284      0.0022734
     23      0.0019091      0.0022883
     24      0.0013974      0.0022499
     25      0.0014692      0.0021592
     26      0.0005646      0.0022631
     27      0.0004066      0.0021834
     28      0.0002153      0.0021127
     29      0.0001824      0.0020388
     30      0.0001432      0.0019701
     31     -0.0001783      0.0019324
     32     -0.0003151      0.0018760
     33     -0.0002658      0.0018190
     34     -0.0002836      0.0017647
     35      0.0002066      0.0017823
     36      0.0003215      0.0017359
     37      0.0004053      0.0016904
     38      0.0005742      0.0016540
     39      0.0004526      0.0016156
     40      0.0005217      0.0015762
     41      0.0008912      0.0015810
     42      0.0011753      0.0015689
     43      0.0013538      0.0015423
     44      0.0012474      0.0015106
     45      0.0010084      0.0014959
     46      0.0011513      0.0014700
     47      0.0012068      0.0014394
     48      0.0013339      0.0014148
     49      0.0011981      0.0013923
     50      0.0015831      0.0014175
     51      0.0015856      0.0013894
     52      0.0014620      0.0013680
     53      0.0013209      0.0013493
     54      0.0014340      0.0013289
     55      0.0013372      0.0013081
     56      0.0012919      0.0012854
     57      0.0015915      0.0012977
     58      0.0018669      0.0013045
     59      0.0018895      0.0012824
     60      0.0018918      0.0012608
     61      0.0020390      0.0012487
     62      0.0022804      0.0012519
     63      0.0023425      0.0012334
     64      0.0022781      0.0012157
     65      0.0023677      0.0012002
     66      0.0024621      0.0011857
     67      0.0025762      0.0011734
     68      0.0022630      0.0011977
     69      0.0021192      0.0011889
     70      0.0020776      0.0011725
     71      0.0020649      0.0011560
     72      0.0016367      0.0012176
     73      0.0015910      0.0012017
     74      0.0015907      0.0011853
     75      0.0016220      0.0011698
     76      0.0015011      0.0011606
     77      0.0015527      0.0011466
     78      0.0016847      0.0011395
     79      0.0017123      0.0011253
     80      0.0018957      0.0011262
     81      0.0018248      0.0011145
     82      0.0015803      0.0011276
     83      0.0015575      0.0011142
     84      0.0013751      0.0011159
     85      0.0012414      0.0011107
     86      0.0011969      0.0010986
     87      0.0013363      0.0010949
     88      0.0013872      0.0010835
     89      0.0013420      0.0010723
     90      0.0013666      0.0010606
     91      0.0014338      0.0010510
     92      0.0013354      0.0010441
     93      0.0013967      0.0010347
     94      0.0013687      0.0010240
     95      0.0012881      0.0010164
     96      0.0012847      0.0010057
     97      0.0014346      0.0010065
     98      0.0012770      0.0010086
     99      0.0014899      0.0010208
    100      0.0014376      0.0010119
