#STEP:       AVERAGE:         ERROR:
     1      1.0000000      0.0000000
     2      1.3337159      0.0049010
     3      1.6220831      0.0058071
     4      1.8576726      0.0077207
     5      2.0854599      0.0087708
     6      2.2863466      0.0097245
     7      2.4656606      0.0098472
     8      2.6145001      0.0102603
     9      2.7760984      0.0111411
    10      2.9296029      0.0096811
    11      3.0846317      0.0117999
    12      3.2016039      0.0132815
    13      3.3442757      0.0134196
    14      3.4456470      0.0124254
    15      3.5973162      0.0140576
    16      3.7182056      0.0160084
    17      3.8115165      0.0170708
    18      3.9153284      0.0149771
    19      4.0320030      0.0160005
    20      4.1268541      0.0158288
    21      4.2030796      0.0179065
    22      4.2933812      0.0179747
    23      4.4376963      0.0178464
    24      4.5144555      0.0180984
    25      4.6247862      0.0187312
    26      4.7171760      0.0204465
    27      4.7707613      0.0198734
    28      4.8743126      0.0172183
    29      4.9966197      0.0212741
    30      5.0425364      0.0225607
    31      5.1342733      0.0240093
    32      5.2116252      0.0229087
    33      5.3291532      0.0217960
    34      5.3821727      0.0214405
    35      5.4223060      0.0244551
    36      5.5139725      0.0240505
    37      5.6439611      0.0252266
    38      5.6142601      0.0221173
    39      5.7910251      0.0220076
    40      5.8670168      0.0290172
    41      5.9002429      0.0233395
    42      5.9987742      0.0243599
    43      6.0299998      0.0268485
    44      6.1225704      0.0267635
    45      6.1527776      0.0277398
    46      6.2517113      0.0257866
    47      6.2854295      0.0239838
    48      6.3315629      0.0294072
    49      6.5042205      0.0283588
    50      6.5112920      0.0271050
    51      6.5985807      0.0267617
    52      6.6289347      0.0281398
    53      6.6954566      0.0269510
    54      6.7706762      0.0271471
    55      6.8391043      0.0280272
    56      6.9200622      0.0324326
    57      6.9482174      0.0312200
    58      7.0395869      0.0297556
    59      7.1228868      0.0292113
    60      7.1198325      0.0263950
    61      7.2129495      0.0327106
    62      7.2520709      0.0365518
    63      7.2786160      0.0332544
    64      7.3205725      0.0294327
    65      7.4488509      0.0348457
    66      7.4881428      0.0303881
    67      7.4971444      0.0346576
    68      7.5947733      0.0341322
    69      7.6068196      0.0292870
    70      7.7394679      0.0314877
    71      7.7660845      0.0299152
    72      7.8495647      0.0341254
    73      7.9579427      0.0333550
    74      7.9445506      0.0380059
    75      7.9338988      0.0329287
    76      8.0704585      0.0412658
    77      8.1215362      0.0337717
    78      8.1427801      0.0321341
    79      8.2360843      0.0358410
    80      8.2378658      0.0375106
    81      8.3576607      0.0346954
    82      8.3285975      0.0410948
    83      8.4204179      0.0343422
    84      8.4302478      0.0391067
    85      8.5189821      0.0314556
    86      8.5463014      0.0333365
    87      8.6482245      0.0369504
    88      8.6370620      0.0362812
    89      8.7238687      0.0387854
    90      8.7555267      0.0361764
    91      8.8665997      0.0375384
    92      8.8539020      0.0379475
    93      8.8954968      0.0365008
    94      8.9858174      0.0399866
    95      8.8754398      0.0349163
    96      9.0064086      0.0376026
    97      9.0677627      0.0390866
    98      9.1703585      0.0358743
    99      9.1829151      0.0361999
   100      9.2364329      0.0381099
