#BLOCK:       AVERAGE:         ERROR:
      1     -0.0110227      0.0000000
      2     -0.0114082      0.0003855
      3     -0.0121440      0.0007687
      4     -0.0078947      0.0042839
      5     -0.0052917      0.0042174
      6     -0.0033941      0.0039317
      7     -0.0078047      0.0055222
      8     -0.0079867      0.0047859
      9     -0.0062236      0.0045742
     10     -0.0020614      0.0058362
     11     -0.0004645      0.0055153
     12     -0.0007833      0.0050449
     13     -0.0015097      0.0046971
     14     -0.0010552      0.0043724
     15     -0.0010597      0.0040704
     16     -0.0043477      0.0050307
     17     -0.0039820      0.0047397
     18     -0.0040866      0.0044698
     19     -0.0048939      0.0043044
     20     -0.0044491      0.0041077
     21     -0.0041057      0.0039223
     22     -0.0044313      0.0037539
     23     -0.0033671      0.0037415
     24     -0.0025520      0.0036738
     25     -0.0027115      0.0035274
     26     -0.0013017      0.0036705
     27     -0.0010494      0.0035409
     28     -0.0008166      0.0034201
     29     -0.0007323      0.0033011
     30     -0.0005590      0.0031939
     31     -0.0000246      0.0031350
     32      0.0000994      0.0030380
     33      0.0001293      0.0029446
     34      0.0001284      0.0028567
     35     -0.0008079      0.0029277
     36     -0.0008973      0.0028466
     37     -0.0009982      0.0027704
     38     -0.0012527      0.0027085
     39     -0.0010117      0.0026491
     40     -0.0011552      0.0025860
     41     -0.0016780      0.0025758
     42     -0.0021081      0.0025502
     43     -0.0024093      0.0025084
     44     -0.0023172      0.0024524
     45     -0.0019414      0.0024266
     46     -0.0020657      0.0023765
     47     -0.0020948      0.0023256
     48     -0.0024128      0.0022987
     49     -0.0022355      0.0022583
     50     -0.0028883      0.0023069
     51     -0.0028763      0.0022613
     52     -0.0027489      0.0022210
     53     -0.0025336      0.0021893
     54     -0.0027308      0.0021574
     55     -0.0025830      0.0021230
     56     -0.0025452      0.0020851
     57     -0.0031325      0.0021307
     58     -0.0036282      0.0021515
     59     -0.0037244      0.0021169
     60     -0.0036984      0.0020815
     61     -0.0038717      0.0020544
     62     -0.0043080      0.0020676
     63     -0.0044044      0.0020368
     64     -0.0043411      0.0020057
     65     -0.0044144      0.0019760
     66     -0.0045268      0.0019490
     67     -0.0047385      0.0019314
     68     -0.0042230      0.0019714
     69     -0.0040455      0.0019507
     70     -0.0039911      0.0019234
     71     -0.0039877      0.0018961
     72     -0.0032750      0.0020008
     73     -0.0031572      0.0019767
     74     -0.0031810      0.0019500
     75     -0.0032125      0.0019240
     76     -0.0029925      0.0019113
     77     -0.0030698      0.0018879
     78     -0.0032974      0.0018773
     79     -0.0033113      0.0018535
     80     -0.0036066      0.0018538
     81     -0.0034647      0.0018363
     82     -0.0029796      0.0018775
     83     -0.0029385      0.0018552
     84     -0.0026471      0.0018560
     85     -0.0024104      0.0018492
     86     -0.0023768      0.0018279
     87     -0.0025874      0.0018190
     88     -0.0027008      0.0018018
     89     -0.0026202      0.0017833
     90     -0.0026615      0.0017638
     91     -0.0028166      0.0017512
     92     -0.0025806      0.0017481
     93     -0.0026762      0.0017318
     94     -0.0026124      0.0017145
     95     -0.0024428      0.0017048
     96     -0.0024446      0.0016869
     97     -0.0027164      0.0016915
     98     -0.0024118      0.0017016
     99     -0.0027544      0.0017188
    100     -0.0026800      0.0017032
