#STEP:       AVERAGE:         ERROR:
     1      1.0000000      0.0000000
     2      1.2809148      0.0058251
     3      1.6300825      0.0064631
     4      1.8375651      0.0067021
     5      2.0925635      0.0072580
     6      2.2623543      0.0091212
     7      2.4447128      0.0099721
     8      2.6074274      0.0094546
     9      2.7651172      0.0095232
    10      2.9311852      0.0121889
    11      3.0691471      0.0142313
    12      3.1989033      0.0128923
    13      3.3514415      0.0122436
    14      3.4535768      0.0163885
    15      3.5879564      0.0151527
    16      3.6673594      0.0159161
    17      3.8235146      0.0156388
    18      3.9285147      0.0170473
    19      4.0403905      0.0162739
    20      4.1484231      0.0174128
    21      4.2329491      0.0185516
    22      4.3274278      0.0181429
    23      4.4281242      0.0179380
    24      4.5165006      0.0182390
    25      4.6120736      0.0185706
    26      4.7046338      0.0202677
    27      4.7977719      0.0184050
    28      4.8243575      0.0194754
    29      4.9661461      0.0216140
    30      5.0457374      0.0206296
    31      5.1433290      0.0241680
    32      5.1778588      0.0207333
    33      5.3407165      0.0230150
    34      5.3868226      0.0211753
    35      5.4700628      0.0234947
    36      5.5643524      0.0271470
    37      5.6170881      0.0224350
    38      5.7133698      0.0260812
    39      5.7489824      0.0238217
    40      5.8254877      0.0256810
    41      5.9122535      0.0286525
    42      5.9691859      0.0247310
    43      6.0236212      0.0274095
    44      6.1180110      0.0282309
    45      6.1515821      0.0265062
    46      6.2479094      0.0249144
    47      6.3245183      0.0264975
    48      6.3162372      0.0250622
    49      6.4624071      0.0314392
    50      6.5230545      0.0239063
    51      6.6196320      0.0257266
    52      6.6449189      0.0261326
    53      6.6640072      0.0259963
    54      6.7753041      0.0271220
    55      6.8038071      0.0252059
    56      6.9440810      0.0249959
    57      6.9426475      0.0293628
    58      7.0403889      0.0289588
    59      7.1127182      0.0315824
    60      7.1490514      0.0306428
    61      7.2027602      0.0275223
    62      7.2789498      0.0272657
    63      7.2831150      0.0353403
    64      7.4043094      0.0350664
    65      7.3799866      0.0295046
    66      7.4986958      0.0304308
    67      7.4913125      0.0326991
    68      7.5678435      0.0325958
    69      7.6910569      0.0302342
    70      7.7203249      0.0291762
    71      7.7232737      0.0311542
    72      7.8002401      0.0366193
    73      7.8659702      0.0337214
    74      7.9375231      0.0337160
    75      7.9757304      0.0383350
    76      7.9681687      0.0341777
    77      8.0639729      0.0388543
    78      8.1285693      0.0336704
    79      8.2020834      0.0314401
    80      8.2549192      0.0370612
    81      8.3245177      0.0337518
    82      8.3599591      0.0357178
    83      8.4247957      0.0347317
    84      8.4723119      0.0370025
    85      8.4723501      0.0324105
    86      8.5857705      0.0272731
    87      8.6092278      0.0363047
    88      8.6743631      0.0374918
    89      8.6859284      0.0389644
    90      8.7077847      0.0369301
    91      8.8005521      0.0362431
    92      8.8703626      0.0345663
    93      8.9135734      0.0369477
    94      8.8855007      0.0385167
    95      8.9337833      0.0397385
    96      9.0096499      0.0426951
    97      9.0025785      0.0369199
    98      9.1605828      0.0373372
    99      9.1203833      0.0385637
   100      9.1753361      0.0360642
