#BLOCK:       AVERAGE:         ERROR:
      1      0.7616736      0.0000000
      2      0.4398981      0.3217756
      3      0.3056179      0.2292255
      4      0.2942995      0.1624816
      5      0.0325065      0.2904750
      6     -0.0420442      0.2486127
      7      0.0464898      0.2280067
      8      0.1852713      0.2413516
      9      0.1356674      0.2185556
     10      0.1059262      0.1977316
     11      0.0245312      0.1965051
     12      0.0456138      0.1806184
     13      0.0691606      0.1678051
     14      0.0634061      0.1554639
     15     -0.0056331      0.1603524
     16     -0.0000826      0.1500986
     17     -0.0895246      0.1669698
     18     -0.0255049      0.1699405
     19     -0.0309702      0.1608405
     20     -0.0535722      0.1542515
     21     -0.0511447      0.1467426
     22     -0.0260167      0.1421521
     23     -0.0574287      0.1394158
     24     -0.0631995      0.1336052
     25     -0.0607503      0.1281730
     26     -0.0417827      0.1245968
     27     -0.0173477      0.1223580
     28      0.0075741      0.1205122
     29      0.0144523      0.1164856
     30      0.0105938      0.1126019
     31      0.0134563      0.1089467
     32      0.0436781      0.1097310
     33      0.0248096      0.1080146
     34      0.0346466      0.1052503
     35      0.0308371      0.1022699
     36      0.0025864      0.1033256
     37      0.0087492      0.1006830
     38      0.0231570      0.0990511
     39      0.0281040      0.0966046
     40      0.0260210      0.0941816
     41      0.0019125      0.0949668
     42      0.0096265      0.0929986
     43      0.0289774      0.0928490
     44      0.0500579      0.0931314
     45      0.0353766      0.0922145
     46      0.0162414      0.0921952
     47      0.0155632      0.0902148
     48      0.0048224      0.0889661
     49     -0.0234365      0.0915995
     50     -0.0182483      0.0898986
     51     -0.0138604      0.0882275
     52     -0.0138988      0.0865142
     53     -0.0153763      0.0848790
     54     -0.0227380      0.0836170
     55     -0.0068491      0.0836063
     56     -0.0276714      0.0846991
     57     -0.0218880      0.0834006
     58     -0.0277023      0.0821561
     59     -0.0112260      0.0824154
     60     -0.0282526      0.0827997
     61     -0.0393771      0.0821874
     62     -0.0369935      0.0808860
     63     -0.0378322      0.0795962
     64     -0.0238672      0.0795775
     65     -0.0085431      0.0798283
     66     -0.0143152      0.0788212
     67     -0.0065454      0.0780236
     68     -0.0089357      0.0769048
     69     -0.0068878      0.0758097
     70     -0.0117834      0.0748791
     71     -0.0015957      0.0745166
     72      0.0230487      0.0774973
     73      0.0346906      0.0773099
     74      0.0375800      0.0763127
     75      0.0383309      0.0752921
     76      0.0351939      0.0743610
     77      0.0339402      0.0733996
     78      0.0388742      0.0726203
     79      0.0363603      0.0717392
     80      0.0403990      0.0709519
     81      0.0434317      0.0701360
     82      0.0356349      0.0697128
     83      0.0340140      0.0688869
     84      0.0305257      0.0681512
     85      0.0239869      0.0676613
     86      0.0179151      0.0671450
     87      0.0086566      0.0670114
     88      0.0058552      0.0663048
     89      0.0068683      0.0655634
     90      0.0051973      0.0648523
     91     -0.0009684      0.0644314
     92     -0.0022644      0.0637404
     93     -0.0014849      0.0630561
     94     -0.0001017      0.0623970
     95      0.0041724      0.0618845
     96      0.0133098      0.0619144
     97      0.0273539      0.0628617
     98      0.0268036      0.0622194
     99      0.0235434      0.0616739
    100      0.0156147      0.0615667
