#BLOCK:       AVERAGE:         ERROR:
      1      0.0497335      0.0000000
      2      0.0226886      0.0270449
      3      0.0000679      0.0274865
      4      0.1175715      0.1191002
      5      0.1074823      0.0928047
      6      0.0828348      0.0796825
      7      0.0696613      0.0686204
      8      0.0731192      0.0595275
      9      0.0506150      0.0571184
     10      0.0871022      0.0627800
     11      0.1265087      0.0691202
     12      0.0458484      0.1024081
     13     -0.0033272      0.1062648
     14     -0.0288379      0.1016358
     15      0.0015979      0.0993924
     16      0.0034810      0.0929922
     17      0.0393183      0.0944166
     18      0.0413567      0.0890402
     19      0.0474057      0.0844405
     20      0.0318919      0.0815957
     21      0.0302999      0.0776293
     22      0.0194945      0.0748012
     23      0.0325156      0.0726514
     24      0.0447103      0.0706193
     25      0.0367011      0.0682075
     26      0.0357336      0.0655388
     27      0.0309976      0.0632423
     28      0.0193459      0.0620457
     29      0.0189161      0.0598695
     30      0.0182514      0.0578433
     31      0.0276548      0.0567310
     32      0.0288563      0.0549427
     33      0.0264679      0.0533053
     34      0.0206565      0.0520392
     35      0.0082602      0.0520289
     36      0.0226799      0.0525789
     37      0.0224570      0.0511386
     38      0.0163927      0.0501427
     39      0.0103660      0.0492105
     40      0.0096995      0.0479691
     41      0.0072724      0.0468474
     42      0.0013923      0.0460950
     43      0.0022903      0.0450192
     44     -0.0022064      0.0442134
     45      0.0032938      0.0435683
     46      0.0170875      0.0447876
     47      0.0247161      0.0444833
     48      0.0190715      0.0439111
     49      0.0136833      0.0433418
     50      0.0150576      0.0424884
     51      0.0072602      0.0423706
     52      0.0077601      0.0415508
     53      0.0067176      0.0407726
     54      0.0105604      0.0401945
     55      0.0126700      0.0395133
     56      0.0187666      0.0392773
     57      0.0215633      0.0386833
     58      0.0166061      0.0383324
     59      0.0098890      0.0382712
     60      0.0100564      0.0376283
     61      0.0145731      0.0372809
     62      0.0091104      0.0370793
     63      0.0065654      0.0365746
     64      0.0027655      0.0361986
     65      0.0000131      0.0357435
     66      0.0036064      0.0353807
     67      0.0018771      0.0348915
     68      0.0023541      0.0343779
     69     -0.0024030      0.0342084
     70     -0.0046930      0.0337938
     71     -0.0055294      0.0333250
     72     -0.0093020      0.0330747
     73     -0.0103383      0.0326349
     74     -0.0139270      0.0323903
     75     -0.0162961      0.0320432
     76     -0.0244146      0.0326444
     77     -0.0241753      0.0322186
     78     -0.0308430      0.0324943
     79     -0.0288135      0.0321444
     80     -0.0259729      0.0318669
     81     -0.0238647      0.0315416
     82     -0.0217245      0.0312280
     83     -0.0210347      0.0308572
     84     -0.0172302      0.0307241
     85     -0.0156530      0.0304014
     86     -0.0166022      0.0300608
     87     -0.0136513      0.0298594
     88     -0.0189871      0.0299966
     89     -0.0188183      0.0296581
     90     -0.0172655      0.0293678
     91     -0.0101076      0.0299123
     92     -0.0085789      0.0296249
     93     -0.0092568      0.0293124
     94     -0.0108153      0.0290408
     95     -0.0172506      0.0294453
     96     -0.0188373      0.0291801
     97     -0.0186227      0.0288785
     98     -0.0190857      0.0285861
     99     -0.0179943      0.0283169
    100     -0.0097141      0.0292296
