#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
      1       2.9850000e+00       2.9850000e+00       0.0000000e+00
      2       2.9849731e+00       2.9849865e+00       9.5087624e-06
      3       2.9848925e+00       2.9849552e+00       2.6370458e-05
      4       2.9847583e+00       2.9849060e+00       4.6994544e-05
      5       2.9845706e+00       2.9848389e+00       7.0805930e-05
      6       2.9843293e+00       2.9847540e+00       9.7431360e-05
      7       2.9840345e+00       2.9846512e+00       1.2660932e-04
      8       2.9836860e+00       2.9845305e+00       1.5814529e-04
      9       2.9832837e+00       2.9843920e+00       1.9188895e-04
     10       2.9828274e+00       2.9842355e+00       2.2772108e-04
     11       2.9823169e+00       2.9840611e+00       2.6554545e-04
     12       2.9817518e+00       2.9838687e+00       3.0528349e-04
     13       2.9811320e+00       2.9836581e+00       3.4687059e-04
     14       2.9804568e+00       2.9834295e+00       3.9025346e-04
     15       2.9797260e+00       2.9831826e+00       4.3538812e-04
     16       2.9789390e+00       2.9829174e+00       4.8223849e-04
     17       2.9780954e+00       2.9826337e+00       5.3077518e-04
     18       2.9771944e+00       2.9823315e+00       5.8097459e-04
     19       2.9762355e+00       2.9820107e+00       6.3281822e-04
     20       2.9752180e+00       2.9816711e+00       6.8629203e-04
     21       2.9741412e+00       2.9813125e+00       7.4138601e-04
     22       2.9730043e+00       2.9809348e+00       7.9809370e-04
     23       2.9718064e+00       2.9805380e+00       8.5641195e-04
     24       2.9705467e+00       2.9801217e+00       9.1634054e-04
     25       2.9692243e+00       2.9796858e+00       9.7788200e-04
     26       2.9678387e+00       2.9792301e+00       1.0410316e-03
     27       2.9663895e+00       2.9787545e+00       1.1057811e-03
     28       2.9648751e+00       2.9782588e+00       1.1721387e-03
     29       2.9632937e+00       2.9777428e+00       1.2401232e-03
     30       2.9616440e+00       2.9772062e+00       1.3097538e-03
     31       2.9599255e+00       2.9766487e+00       1.3810438e-03
     32       2.9581378e+00       2.9760703e+00       1.4539972e-03
     33       2.9562794e+00       2.9754705e+00       1.5286236e-03
     34       2.9543481e+00       2.9748493e+00       1.6049479e-03
     35       2.9523432e+00       2.9742063e+00       1.6829863e-03
     36       2.9502642e+00       2.9735412e+00       1.7627498e-03
     37       2.9481080e+00       2.9728538e+00       1.8442669e-03
     38       2.9458724e+00       2.9721438e+00       1.9275748e-03
     39       2.9435564e+00       2.9714108e+00       2.0127028e-03
     40       2.9411587e+00       2.9706545e+00       2.0996778e-03
     41       2.9386776e+00       2.9698746e+00       2.1885287e-03
     42       2.9361108e+00       2.9690707e+00       2.2792890e-03
     43       2.9334562e+00       2.9682424e+00       2.3719962e-03
     44       2.9307128e+00       2.9673895e+00       2.4666797e-03
     45       2.9278788e+00       2.9665115e+00       2.5633709e-03
     46       2.9249513e+00       2.9656080e+00       2.6621080e-03
     47       2.9219290e+00       2.9646786e+00       2.7629251e-03
     48       2.9188104e+00       2.9637230e+00       2.8658539e-03
     49       2.9155928e+00       2.9627408e+00       2.9709318e-03
     50       2.9122737e+00       2.9617315e+00       3.0781980e-03
     51       2.9088515e+00       2.9606946e+00       3.1876903e-03
     52       2.9053230e+00       2.9596298e+00       3.2994515e-03
     53       2.9016863e+00       2.9585365e+00       3.4135236e-03
     54       2.8979395e+00       2.9574143e+00       3.5299456e-03
     55       2.8940796e+00       2.9562628e+00       3.6487613e-03
     56       2.8901040e+00       2.9550814e+00       3.7700164e-03
     57       2.8860108e+00       2.9538696e+00       3.8937525e-03
     58       2.8817987e+00       2.9526270e+00       4.0200061e-03
     59       2.8774655e+00       2.9513531e+00       4.1488137e-03
     60       2.8730074e+00       2.9500473e+00       4.2802193e-03
     61       2.8684214e+00       2.9487092e+00       4.4142695e-03
     62       2.8637050e+00       2.9473381e+00       4.5510097e-03
     63       2.8588558e+00       2.9459337e+00       4.6904855e-03
     64       2.8538711e+00       2.9444952e+00       4.8327416e-03
     65       2.8487480e+00       2.9430222e+00       4.9778247e-03
     66       2.8434829e+00       2.9415140e+00       5.1257847e-03
     67       2.8380733e+00       2.9399701e+00       5.2766710e-03
     68       2.8325167e+00       2.9383899e+00       5.4305305e-03
     69       2.8268102e+00       2.9367728e+00       5.5874107e-03
     70       2.8209505e+00       2.9351182e+00       5.7473613e-03
     71       2.8149345e+00       2.9334255e+00       5.9104315e-03
     72       2.8087607e+00       2.9316940e+00       6.0766663e-03
     73       2.8024274e+00       2.9299232e+00       6.2461048e-03
     74       2.7959321e+00       2.9281125e+00       6.4187864e-03
     75       2.7892717e+00       2.9262613e+00       6.5947514e-03
     76       2.7824433e+00       2.9243690e+00       6.7740407e-03
     77       2.7754435e+00       2.9224349e+00       6.9566970e-03
     78       2.7682708e+00       2.9204584e+00       7.1427583e-03
     79       2.7609239e+00       2.9184390e+00       7.3322579e-03
     80       2.7534000e+00       2.9163760e+00       7.5252291e-03
     81       2.7456962e+00       2.9142689e+00       7.7217069e-03
     82       2.7378103e+00       2.9121169e+00       7.9217238e-03
     83       2.7297402e+00       2.9099196e+00       8.1253109e-03
     84       2.7214840e+00       2.9076763e+00       8.3324977e-03
     85       2.7130410e+00       2.9053865e+00       8.5433069e-03
     86       2.7044098e+00       2.9030496e+00       8.7577591e-03
     87       2.6955882e+00       2.9006650e+00       8.9758742e-03
     88       2.6865749e+00       2.8982321e+00       9.1976696e-03
     89       2.6773685e+00       2.8957505e+00       9.4231607e-03
     90       2.6679689e+00       2.8932196e+00       9.6523568e-03
     91       2.6583760e+00       2.8906389e+00       9.8852625e-03
     92       2.6485881e+00       2.8880079e+00       1.0121882e-02
     93       2.6386048e+00       2.8853262e+00       1.0362217e-02
     94       2.6284264e+00       2.8825932e+00       1.0606262e-02
     95       2.6180546e+00       2.8798086e+00       1.0854007e-02
     96       2.6074902e+00       2.8769719e+00       1.1105433e-02
     97       2.5967338e+00       2.8740829e+00       1.1360521e-02
     98       2.5857860e+00       2.8711411e+00       1.1619246e-02
     99       2.5746491e+00       2.8681462e+00       1.1881577e-02
    100       2.5633253e+00       2.8650980e+00       1.2147477e-02
    101       2.5518160e+00       2.8619962e+00       1.2416907e-02
    102       2.5401232e+00       2.8588406e+00       1.2689821e-02
    103       2.5282504e+00       2.8556309e+00       1.2966168e-02
    104       2.5162007e+00       2.8523672e+00       1.3245890e-02
    105       2.5039773e+00       2.8490492e+00       1.3528925e-02
    106       2.4915845e+00       2.8456769e+00       1.3815204e-02
    107       2.4790267e+00       2.8422502e+00       1.4104650e-02
    108       2.4663084e+00       2.8387693e+00       1.4397183e-02
    109       2.4534339e+00       2.8352341e+00       1.4692717e-02
    110       2.4404085e+00       2.8316448e+00       1.4991160e-02
    111       2.4272383e+00       2.8280015e+00       1.5292414e-02
    112       2.4139294e+00       2.8243044e+00       1.5596372e-02
    113       2.4004879e+00       2.8205538e+00       1.5902926e-02
    114       2.3869199e+00       2.8167500e+00       1.6211960e-02
    115       2.3732317e+00       2.8128933e+00       1.6523355e-02
    116       2.3594308e+00       2.8089842e+00       1.6836985e-02
    117       2.3455245e+00       2.8050230e+00       1.7152721e-02
    118       2.3315199e+00       2.8010103e+00       1.7470428e-02
    119       2.3174247e+00       2.7969465e+00       1.7789969e-02
    120       2.3032468e+00       2.7928323e+00       1.8111199e-02
    121       2.2889935e+00       2.7886684e+00       1.8433975e-02
    122       2.2746730e+00       2.7844553e+00       1.8758148e-02
    123       2.2602934e+00       2.7801938e+00       1.9083567e-02
    124       2.2458634e+00       2.7758847e+00       1.9410075e-02
    125       2.2313911e+00       2.7715288e+00       1.9737518e-02
    126       2.2168843e+00       2.7671268e+00       2.0065737e-02
    127       2.2023519e+00       2.7626798e+00       2.0394572e-02
    128       2.1878033e+00       2.7581886e+00       2.0723861e-02
    129       2.1732468e+00       2.7536541e+00       2.1053440e-02
    130       2.1586898e+00       2.7490775e+00       2.1383147e-02
    131       2.1441407e+00       2.7444596e+00       2.1712819e-02
    132       2.1296080e+00       2.7398017e+00       2.2042294e-02
    133       2.1150999e+00       2.7351047e+00       2.2371410e-02
    134       2.1006245e+00       2.7303697e+00       2.2700005e-02
    135       2.0861890e+00       2.7255980e+00       2.3027920e-02
    136       2.0718013e+00       2.7207907e+00       2.3354998e-02
    137       2.0574695e+00       2.7159489e+00       2.3681082e-02
    138       2.0432012e+00       2.7110740e+00       2.4006018e-02
    139       2.0290040e+00       2.7061670e+00       2.4329653e-02
    140       2.0148858e+00       2.7012293e+00       2.4651836e-02
    141       2.0008543e+00       2.6962621e+00       2.4972417e-02
    142       1.9869160e+00       2.6912667e+00       2.5291251e-02
    143       1.9730773e+00       2.6862444e+00       2.5608195e-02
    144       1.9593458e+00       2.6811965e+00       2.5923110e-02
    145       1.9457285e+00       2.6761243e+00       2.6235858e-02
    146       1.9322318e+00       2.6710291e+00       2.6546305e-02
    147       1.9188623e+00       2.6659123e+00       2.6854318e-02
    148       1.9056270e+00       2.6607753e+00       2.7159770e-02
    149       1.8925322e+00       2.6556193e+00       2.7462534e-02
    150       1.8795843e+00       2.6504457e+00       2.7762489e-02
    151       1.8667903e+00       2.6452559e+00       2.8059513e-02
    152       1.8541558e+00       2.6400513e+00       2.8353489e-02
    153       1.8416872e+00       2.6348333e+00       2.8644305e-02
    154       1.8293910e+00       2.6296031e+00       2.8931847e-02
    155       1.8172731e+00       2.6243623e+00       2.9216008e-02
    156       1.8053399e+00       2.6191121e+00       2.9496682e-02
    157       1.7935971e+00       2.6138541e+00       2.9773766e-02
    158       1.7820508e+00       2.6085895e+00       3.0047159e-02
    159       1.7707074e+00       2.6033198e+00       3.0316764e-02
    160       1.7595726e+00       2.5980464e+00       3.0582485e-02
    161       1.7486515e+00       2.5927706e+00       3.0844231e-02
    162       1.7379504e+00       2.5874940e+00       3.1101912e-02
    163       1.7274748e+00       2.5822178e+00       3.1355441e-02
    164       1.7172304e+00       2.5769435e+00       3.1604734e-02
    165       1.7072228e+00       2.5716724e+00       3.1849708e-02
    166       1.6974570e+00       2.5664061e+00       3.2090286e-02
    167       1.6879384e+00       2.5611458e+00       3.2326390e-02
    168       1.6786722e+00       2.5558930e+00       3.2557948e-02
    169       1.6696636e+00       2.5506490e+00       3.2784888e-02
    170       1.6609180e+00       2.5454153e+00       3.3007142e-02
    171       1.6524395e+00       2.5401932e+00       3.3224644e-02
    172       1.6442330e+00       2.5349841e+00       3.3437332e-02
    173       1.6363029e+00       2.5297895e+00       3.3645146e-02
    174       1.6286527e+00       2.5246105e+00       3.3848030e-02
    175       1.6212861e+00       2.5194487e+00       3.4045931e-02
    176       1.6142063e+00       2.5143052e+00       3.4238800e-02
    177       1.6074165e+00       2.5091816e+00       3.4426592e-02
    178       1.6009196e+00       2.5040790e+00       3.4609263e-02
    179       1.5947179e+00       2.4989987e+00       3.4786776e-02
    180       1.5888139e+00       2.4939422e+00       3.4959095e-02
    181       1.5832097e+00       2.4889105e+00       3.5126189e-02
    182       1.5779070e+00       2.4839050e+00       3.5288031e-02
    183       1.5729066e+00       2.4789268e+00       3.5444597e-02
    184       1.5682084e+00       2.4739773e+00       3.5595869e-02
    185       1.5638120e+00       2.4690575e+00       3.5741833e-02
    186       1.5597170e+00       2.4641685e+00       3.5882479e-02
    187       1.5559220e+00       2.4593116e+00       3.6017804e-02
    188       1.5524245e+00       2.4544877e+00       3.6147807e-02
    189       1.5492220e+00       2.4496980e+00       3.6272495e-02
    190       1.5463115e+00       2.4449433e+00       3.6391878e-02
    191       1.5436896e+00       2.4402247e+00       3.6505972e-02
    192       1.5413522e+00       2.4355431e+00       3.6614799e-02
    193       1.5392947e+00       2.4308993e+00       3.6718384e-02
    194       1.5375116e+00       2.4262942e+00       3.6816759e-02
    195       1.5359974e+00       2.4217286e+00       3.6909959e-02
    196       1.5347453e+00       2.4172032e+00       3.6998028e-02
    197       1.5337481e+00       2.4127186e+00       3.7081011e-02
    198       1.5329985e+00       2.4082756e+00       3.7158961e-02
    199       1.5324887e+00       2.4038746e+00       3.7231934e-02
    200       1.5322098e+00       2.3995163e+00       3.7299992e-02
    201       1.5321534e+00       2.3952011e+00       3.7363201e-02
    202       1.5323103e+00       2.3909293e+00       3.7421632e-02
    203       1.5326706e+00       2.3867015e+00       3.7475360e-02
    204       1.5332247e+00       2.3825178e+00       3.7524463e-02
    205       1.5339625e+00       2.3783785e+00       3.7569024e-02
    206       1.5348740e+00       2.3742838e+00       3.7609130e-02
    207       1.5359493e+00       2.3702339e+00       3.7644869e-02
    208       1.5371775e+00       2.3662288e+00       3.7676334e-02
    209       1.5385476e+00       2.3622686e+00       3.7703620e-02
    210       1.5400493e+00       2.3583533e+00       3.7726825e-02
    211       1.5416724e+00       2.3544827e+00       3.7746048e-02
    212       1.5434065e+00       2.3506569e+00       3.7761390e-02
    213       1.5452409e+00       2.3468756e+00       3.7772955e-02
    214       1.5471656e+00       2.3431386e+00       3.7780847e-02
    215       1.5491703e+00       2.3394458e+00       3.7785171e-02
    216       1.5512448e+00       2.3357967e+00       3.7786032e-02
    217       1.5533796e+00       2.3321911e+00       3.7783538e-02
    218       1.5555656e+00       2.3286286e+00       3.7777795e-02
    219       1.5577936e+00       2.3251088e+00       3.7768909e-02
    220       1.5600545e+00       2.3216313e+00       3.7756986e-02
    221       1.5623405e+00       2.3181956e+00       3.7742133e-02
    222       1.5646441e+00       2.3148012e+00       3.7724453e-02
    223       1.5669574e+00       2.3114476e+00       3.7704050e-02
    224       1.5692738e+00       2.3081343e+00       3.7681025e-02
    225       1.5715872e+00       2.3048608e+00       3.7655480e-02
    226       1.5738905e+00       2.3016264e+00       3.7627514e-02
    227       1.5761776e+00       2.2984306e+00       3.7597223e-02
    228       1.5784433e+00       2.2952728e+00       3.7564705e-02
    229       1.5806828e+00       2.2921523e+00       3.7530051e-02
    230       1.5828921e+00       2.2890686e+00       3.7493354e-02
    231       1.5850669e+00       2.2860209e+00       3.7454703e-02
    232       1.5872034e+00       2.2830088e+00       3.7414184e-02
