#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -6.3647196e+00      -6.3647196e+00       0.0000000e+00
      2      -6.3646390e+00      -6.3646793e+00       2.8500558e-05
      3      -6.3645048e+00      -6.3646211e+00       5.1155279e-05
      4      -6.3643170e+00      -6.3645451e+00       7.6198576e-05
      5      -6.3640758e+00      -6.3644512e+00       1.0375149e-04
      6      -6.3637810e+00      -6.3643395e+00       1.3369836e-04
      7      -6.3634325e+00      -6.3642099e+00       1.6590608e-04
      8      -6.3630302e+00      -6.3640625e+00       2.0025571e-04
      9      -6.3625739e+00      -6.3638971e+00       2.3664630e-04
     10      -6.3620634e+00      -6.3637137e+00       2.7499323e-04
     11      -6.3614984e+00      -6.3635123e+00       3.1522586e-04
     12      -6.3608786e+00      -6.3632928e+00       3.5728528e-04
     13      -6.3602035e+00      -6.3630552e+00       4.0112243e-04
     14      -6.3594727e+00      -6.3627993e+00       4.4669667e-04
     15      -6.3586858e+00      -6.3625251e+00       4.9397452e-04
     16      -6.3578422e+00      -6.3622324e+00       5.4292873e-04
     17      -6.3569413e+00      -6.3619212e+00       5.9353751e-04
     18      -6.3559824e+00      -6.3615912e+00       6.4578385e-04
     19      -6.3549650e+00      -6.3612425e+00       6.9965501e-04
     20      -6.3538883e+00      -6.3608748e+00       7.5514208e-04
     21      -6.3527514e+00      -6.3604879e+00       8.1223963e-04
     22      -6.3515536e+00      -6.3600818e+00       8.7094535e-04
     23      -6.3502940e+00      -6.3596563e+00       9.3125982e-04
     24      -6.3489716e+00      -6.3592111e+00       9.9318629e-04
     25      -6.3474355e+00      -6.3587401e+00       1.0592796e-03
     26      -6.3458351e+00      -6.3582437e+00       1.1288505e-03
     27      -6.3443207e+00      -6.3577280e+00       1.1990504e-03
     28      -6.3427394e+00      -6.3571927e+00       1.2701116e-03
     29      -6.3410899e+00      -6.3566375e+00       1.3422154e-03
     30      -6.3392200e+00      -6.3560569e+00       1.4174908e-03
     31      -6.3371305e+00      -6.3554464e+00       1.4974844e-03
     32      -6.3351216e+00      -6.3548112e+00       1.5796529e-03
     33      -6.3331904e+00      -6.3541560e+00       1.6621107e-03
     34      -6.3307325e+00      -6.3534671e+00       1.7501872e-03
     35      -6.3283515e+00      -6.3527495e+00       1.8414231e-03
     36      -6.3261955e+00      -6.3520119e+00       1.9323643e-03
     37      -6.3239600e+00      -6.3512537e+00       2.0234102e-03
     38      -6.3213418e+00      -6.3504666e+00       2.1177466e-03
     39      -6.3187928e+00      -6.3496544e+00       2.2137025e-03
     40      -6.3160097e+00      -6.3488133e+00       2.3126420e-03
     41      -6.3134431e+00      -6.3479506e+00       2.4117799e-03
     42      -6.3106376e+00      -6.3470622e+00       2.5126614e-03
     43      -6.3074416e+00      -6.3461408e+00       2.6177253e-03
     44      -6.3044567e+00      -6.3451934e+00       2.7242715e-03
