#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       1.5345115e+00       1.5345115e+00       0.0000000e+00
      2       1.5345029e+00       1.5345072e+00       3.0236876e-06
      3       1.5344696e+00       1.5344947e+00       1.0435162e-05
      4       1.5344115e+00       1.5344739e+00       1.9631818e-05
      5       1.5343287e+00       1.5344449e+00       3.0346303e-05
      6       1.5342213e+00       1.5344076e+00       4.2390787e-05
      7       1.5340890e+00       1.5343621e+00       5.5635932e-05
      8       1.5339321e+00       1.5343083e+00       6.9986970e-05
      9       1.5337502e+00       1.5342463e+00       8.5371473e-05
     10       1.5335435e+00       1.5341760e+00       1.0173252e-04
     11       1.5333117e+00       1.5340975e+00       1.1902454e-04
     12       1.5330546e+00       1.5340106e+00       1.3721060e-04
     13       1.5327722e+00       1.5339153e+00       1.5626057e-04
     14       1.5324643e+00       1.5338117e+00       1.7614979e-04
     15       1.5321305e+00       1.5336996e+00       1.9685814e-04
     16       1.5317707e+00       1.5335790e+00       2.1836927e-04
     17       1.5313846e+00       1.5334499e+00       2.4067006e-04
     18       1.5309719e+00       1.5333123e+00       2.6375021e-04
     19       1.5305323e+00       1.5331660e+00       2.8760182e-04
     20       1.5300655e+00       1.5330109e+00       3.1221918e-04
     21       1.5295710e+00       1.5328471e+00       3.3759848e-04
     22       1.5290485e+00       1.5326745e+00       3.6373765e-04
     23       1.5284976e+00       1.5324929e+00       3.9063617e-04
     24       1.5279178e+00       1.5323022e+00       4.1829498e-04
     25       1.5273108e+00       1.5321026e+00       4.4667830e-04
     26       1.5266743e+00       1.5318938e+00       4.7579506e-04
     27       1.5260059e+00       1.5316757e+00       5.0568377e-04
     28       1.5253068e+00       1.5314483e+00       5.3634602e-04
     29       1.5245763e+00       1.5312113e+00       5.6778990e-04
     30       1.5238160e+00       1.5309648e+00       5.9999454e-04
     31       1.5230254e+00       1.5307087e+00       6.3294497e-04
     32       1.5222000e+00       1.5304428e+00       6.6668120e-04
     33       1.5213391e+00       1.5301669e+00       7.0123645e-04
     34       1.5204504e+00       1.5298811e+00       7.3654616e-04
     35       1.5195247e+00       1.5295852e+00       7.7265544e-04
     36       1.5185596e+00       1.5292790e+00       8.0962052e-04
     37       1.5175579e+00       1.5289622e+00       8.4745128e-04
     38       1.5165229e+00       1.5286348e+00       8.8612109e-04
     39       1.5154474e+00       1.5282967e+00       9.2567020e-04
     40       1.5143354e+00       1.5279477e+00       9.6609303e-04
     41       1.5131791e+00       1.5275875e+00       1.0074460e-03
     42       1.5119843e+00       1.5272160e+00       1.0497243e-03
     43       1.5107519e+00       1.5268331e+00       1.0929121e-03
     44       1.5094726e+00       1.5264385e+00       1.1370646e-03
     45       1.5081500e+00       1.5260321e+00       1.1821974e-03
     46       1.5067871e+00       1.5256137e+00       1.2282973e-03
     47       1.5053787e+00       1.5251832e+00       1.2753865e-03
     48       1.5039197e+00       1.5247402e+00       1.3235153e-03
     49       1.5024175e+00       1.5242846e+00       1.3726722e-03
     50       1.5008643e+00       1.5238162e+00       1.4228948e-03
     51       1.4992592e+00       1.5233347e+00       1.4742173e-03
     52       1.4976074e+00       1.5228400e+00       1.5266328e-03
     53       1.4959033e+00       1.5223317e+00       1.5801654e-03
     54       1.4941416e+00       1.5218097e+00       1.6348633e-03
     55       1.4923275e+00       1.5212737e+00       1.6907346e-03
     56       1.4904618e+00       1.5207234e+00       1.7477783e-03
     57       1.4885370e+00       1.5201588e+00       1.8060314e-03
     58       1.4865523e+00       1.5195793e+00       1.8655256e-03
