#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       1.9900000e+00       1.9900000e+00       0.0000000e+00
      2       1.9899821e+00       1.9899910e+00       6.3391789e-06
      3       1.9899283e+00       1.9899701e+00       1.7580301e-05
      4       1.9898389e+00       1.9899373e+00       3.1329696e-05
      5       1.9897137e+00       1.9898926e+00       4.7203953e-05
      6       1.9895529e+00       1.9898360e+00       6.4954241e-05
      7       1.9893563e+00       1.9897674e+00       8.4406210e-05
      8       1.9891240e+00       1.9896870e+00       1.0543019e-04
      9       1.9888558e+00       1.9895947e+00       1.2792597e-04
     10       1.9885516e+00       1.9894903e+00       1.5181405e-04
     11       1.9882113e+00       1.9893741e+00       1.7703030e-04
     12       1.9878346e+00       1.9892458e+00       2.0352233e-04
     13       1.9874213e+00       1.9891054e+00       2.3124706e-04
     14       1.9869712e+00       1.9889530e+00       2.6016897e-04
     15       1.9864840e+00       1.9887884e+00       2.9025875e-04
     16       1.9859594e+00       1.9886116e+00       3.2149233e-04
     17       1.9853969e+00       1.9884225e+00       3.5385012e-04
     18       1.9847963e+00       1.9882210e+00       3.8731639e-04
     19       1.9841570e+00       1.9880071e+00       4.2187881e-04
     20       1.9834787e+00       1.9877807e+00       4.5752802e-04
     21       1.9827608e+00       1.9875417e+00       4.9425734e-04
     22       1.9820029e+00       1.9872899e+00       5.3206247e-04
     23       1.9812043e+00       1.9870253e+00       5.7094130e-04
     24       1.9803645e+00       1.9867478e+00       6.1089369e-04
     25       1.9794829e+00       1.9864572e+00       6.5192133e-04
     26       1.9785591e+00       1.9861534e+00       6.9402105e-04
     27       1.9775930e+00       1.9858364e+00       7.3718743e-04
     28       1.9765834e+00       1.9855059e+00       7.8142581e-04
     29       1.9755291e+00       1.9851619e+00       8.2674883e-04
     30       1.9744294e+00       1.9848041e+00       8.7316922e-04
     31       1.9732837e+00       1.9844325e+00       9.2069585e-04
     32       1.9720918e+00       1.9840468e+00       9.6933144e-04
     33       1.9708529e+00       1.9836470e+00       1.0190824e-03
     34       1.9695654e+00       1.9832329e+00       1.0699652e-03
     35       1.9682288e+00       1.9828042e+00       1.1219909e-03
     36       1.9668428e+00       1.9823608e+00       1.1751665e-03
     37       1.9654054e+00       1.9819025e+00       1.2295112e-03
     38       1.9639149e+00       1.9814292e+00       1.2850498e-03
     39       1.9623709e+00       1.9809405e+00       1.3418018e-03
     40       1.9607725e+00       1.9804363e+00       1.3997852e-03
     41       1.9591184e+00       1.9799164e+00       1.4590191e-03
     42       1.9574072e+00       1.9793804e+00       1.5195260e-03
     43       1.9556375e+00       1.9788283e+00       1.5813308e-03
     44       1.9538086e+00       1.9782596e+00       1.6444532e-03
     45       1.9519192e+00       1.9776743e+00       1.7089139e-03
     46       1.9499675e+00       1.9770720e+00       1.7747386e-03
     47       1.9479527e+00       1.9764524e+00       1.8419501e-03
     48       1.9458736e+00       1.9758154e+00       1.9105692e-03
     49       1.9437285e+00       1.9751605e+00       1.9806212e-03
     50       1.9415158e+00       1.9744876e+00       2.0521320e-03
     51       1.9392343e+00       1.9737964e+00       2.1251268e-03
     52       1.9368820e+00       1.9730865e+00       2.1996344e-03
     53       1.9344575e+00       1.9723577e+00       2.2756824e-03
     54       1.9319597e+00       1.9716095e+00       2.3532971e-03
     55       1.9293864e+00       1.9708418e+00       2.4325076e-03
     56       1.9267360e+00       1.9700542e+00       2.5133443e-03
     57       1.9240072e+00       1.9692464e+00       2.5958350e-03
     58       1.9211991e+00       1.9684180e+00       2.6800040e-03
     59       1.9183103e+00       1.9675687e+00       2.7658758e-03
     60       1.9153382e+00       1.9666982e+00       2.8534796e-03
     61       1.9122809e+00       1.9658061e+00       2.9428464e-03
     62       1.9091367e+00       1.9648921e+00       3.0340065e-03
     63       1.9059038e+00       1.9639558e+00       3.1269903e-03
     64       1.9025807e+00       1.9629968e+00       3.2218277e-03
     65       1.8991653e+00       1.9620148e+00       3.3185498e-03
     66       1.8956553e+00       1.9610093e+00       3.4171898e-03
     67       1.8920489e+00       1.9599801e+00       3.5177807e-03
     68       1.8883445e+00       1.9589266e+00       3.6203537e-03
     69       1.8845401e+00       1.9578485e+00       3.7249405e-03
     70       1.8806336e+00       1.9567455e+00       3.8315742e-03
     71       1.8766230e+00       1.9556170e+00       3.9402877e-03
     72       1.8725071e+00       1.9544627e+00       4.0511109e-03
     73       1.8682850e+00       1.9532822e+00       4.1640699e-03
     74       1.8639547e+00       1.9520750e+00       4.2791909e-03
     75       1.8595144e+00       1.9508409e+00       4.3965010e-03
     76       1.8549622e+00       1.9495793e+00       4.5160271e-03
     77       1.8502957e+00       1.9482899e+00       4.6377980e-03
     78       1.8455139e+00       1.9469723e+00       4.7618389e-03
     79       1.8406159e+00       1.9456260e+00       4.8881719e-03
