#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
      1       1.7990393e+00       1.7990393e+00       0.0000000e+00
      2       1.8133045e+00       1.8061719e+00       5.0434957e-03
      3       1.8013536e+00       1.8045658e+00       3.6090163e-03
      4       1.8196298e+00       1.8083318e+00       4.2383526e-03
      5       1.7554399e+00       1.7977534e+00       1.0050795e-02
      6       1.7999137e+00       1.7981135e+00       8.3821085e-03
      7       1.7721510e+00       1.7944045e+00       7.9630635e-03
      8       1.8204629e+00       1.7976618e+00       7.6047552e-03
      9       1.8058640e+00       1.7985732e+00       6.8141713e-03
     10       1.8321072e+00       1.8019266e+00       6.9087958e-03
     11       1.7725573e+00       1.7992567e+00       6.7770181e-03
     12       1.7931495e+00       1.7987477e+00       6.2313469e-03
     13       1.7886807e+00       1.7979733e+00       5.7999309e-03
     14       1.7934409e+00       1.7976496e+00       5.3946782e-03
     15       1.7815603e+00       1.7965770e+00       5.1405609e-03
     16       1.7976646e+00       1.7966450e+00       4.8197253e-03
     17       1.8121741e+00       1.7975584e+00       4.6219674e-03
     18       1.7752132e+00       1.7963170e+00       4.5288371e-03
     19       1.8074256e+00       1.7969017e+00       4.3280522e-03
     20       1.7799114e+00       1.7960522e+00       4.1941924e-03
