#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
      1       1.6525258e+00       1.6525258e+00       0.0000000e+00
      2       1.6633857e+00       1.6579557e+00       3.8395505e-03
      3       1.6575564e+00       1.6578226e+00       2.5620067e-03
      4       1.6580285e+00       1.6578741e+00       1.9220218e-03
      5       1.6557190e+00       1.6574431e+00       1.5852106e-03
      6       1.6593532e+00       1.6577614e+00       1.3525985e-03
      7       1.6503909e+00       1.6567085e+00       1.5147370e-03
      8       1.6544067e+00       1.6564208e+00       1.3524446e-03
      9       1.6646211e+00       1.6573319e+00       1.4775556e-03
     10       1.6584832e+00       1.6574471e+00       1.3342775e-03
     11       1.6534155e+00       1.6570805e+00       1.2623129e-03
     12       1.6550407e+00       1.6569106e+00       1.1685100e-03
     13       1.6532847e+00       1.6566316e+00       1.1114138e-03
     14       1.6568995e+00       1.6566508e+00       1.0321918e-03
     15       1.6607922e+00       1.6569269e+00       9.9962278e-04
     16       1.6611249e+00       1.6571892e+00       9.7096914e-04
     17       1.6612836e+00       1.6574301e+00       9.4325021e-04
     18       1.6516410e+00       1.6571085e+00       9.4408662e-04
     19       1.6535661e+00       1.6569220e+00       9.1262122e-04
     20       1.6566059e+00       1.6569062e+00       8.6712702e-04
