#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
      1       1.2074452e+00       1.2074452e+00       0.0000000e+00
      2       1.2064643e+00       1.2069548e+00       3.4678770e-04
      3       1.2070172e+00       1.2069756e+00       2.3181510e-04
      4       1.2072087e+00       1.2070339e+00       1.8104164e-04
      5       1.2060239e+00       1.2068319e+00       2.3154821e-04
      6       1.2073905e+00       1.2069250e+00       2.1084383e-04
      7       1.2074758e+00       1.2070037e+00       1.9485361e-04
      8       1.2076270e+00       1.2070816e+00       1.8542322e-04
      9       1.2068084e+00       1.2070512e+00       1.6728595e-04
     10       1.2071577e+00       1.2070619e+00       1.5089564e-04
     11       1.2073127e+00       1.2070847e+00       1.3888945e-04
     12       1.2068880e+00       1.2070683e+00       1.2827887e-04
     13       1.2074325e+00       1.2070963e+00       1.2143169e-04
     14       1.2072080e+00       1.2071043e+00       1.1301976e-04
     15       1.2073181e+00       1.2071185e+00       1.0638041e-04
     16       1.2063741e+00       1.2070720e+00       1.0943488e-04
     17       1.2063752e+00       1.2070310e+00       1.1040653e-04
     18       1.2074012e+00       1.2070516e+00       1.0617086e-04
     19       1.2064815e+00       1.2070216e+00       1.0473692e-04
     20       1.2073108e+00       1.2070360e+00       1.0049341e-04
