#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -4.0697101e-01      -4.0697101e-01       0.0000000e+00
      2      -4.2124861e-01      -4.1410981e-01       5.0478958e-03
      3      -4.0922582e-01      -4.1248181e-01       3.6182752e-03
      4      -4.2758504e-01      -4.1625762e-01       4.2493226e-03
      5      -3.6331695e-01      -4.0566949e-01       1.0061967e-02
      6      -4.0783595e-01      -4.0603056e-01       8.3914491e-03
      7      -3.8004007e-01      -4.0231764e-01       7.9718845e-03
      8      -4.2841215e-01      -4.0557945e-01       7.6135204e-03
      9      -4.1379738e-01      -4.0649255e-01       6.8221091e-03
     10      -4.4008471e-01      -4.0985177e-01       6.9176764e-03
     11      -3.8045356e-01      -4.0717920e-01       6.7854432e-03
     12      -4.0100294e-01      -4.0666452e-01       6.2394791e-03
     13      -3.9651947e-01      -4.0588413e-01       5.8081167e-03
     14      -4.0132469e-01      -4.0555845e-01       5.4023742e-03
     15      -3.8943290e-01      -4.0448342e-01       5.1480675e-03
     16      -4.0556205e-01      -4.0455083e-01       4.8267547e-03
     17      -4.2010484e-01      -4.0546577e-01       4.6287322e-03
     18      -3.8307335e-01      -4.0422175e-01       4.5356733e-03
     19      -4.1534857e-01      -4.0480737e-01       4.3345950e-03
     20      -3.8781396e-01      -4.0395770e-01       4.2003163e-03
