#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -5.0159782e+00      -5.0159782e+00       0.0000000e+00
      2      -5.0264063e+00      -5.0211922e+00       3.6868853e-03
      3      -5.0208919e+00      -5.0210921e+00       2.4592826e-03
      4      -5.0214826e+00      -5.0211897e+00       1.8463988e-03
      5      -5.0189911e+00      -5.0207500e+00       1.5285846e-03
      6      -5.0223623e+00      -5.0210187e+00       1.2972256e-03
      7      -5.0136505e+00      -5.0199661e+00       1.4785272e-03
      8      -5.0174088e+00      -5.0196465e+00       1.3278176e-03
      9      -5.0279500e+00      -5.0205691e+00       1.4661889e-03
     10      -5.0220298e+00      -5.0207151e+00       1.3268264e-03
     11      -5.0169184e+00      -5.0203700e+00       1.2502947e-03
     12      -5.0183090e+00      -5.0201982e+00       1.1578400e-03
     13      -5.0168989e+00      -5.0199444e+00       1.0962377e-03
     14      -5.0202535e+00      -5.0199665e+00       1.0181573e-03
     15      -5.0242065e+00      -5.0202492e+00       9.8873859e-04
     16      -5.0247166e+00      -5.0205284e+00       9.6556280e-04
     17      -5.0245227e+00      -5.0207634e+00       9.3691650e-04
     18      -5.0151472e+00      -5.0204513e+00       9.3537639e-04
     19      -5.0173796e+00      -5.0202897e+00       9.0000905e-04
     20      -5.0201312e+00      -5.0202818e+00       8.5504348e-04
