#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -6.6551542e+00      -6.6551542e+00       0.0000000e+00
      2      -6.6543937e+00      -6.6547740e+00       2.6885871e-04
      3      -6.6546806e+00      -6.6547428e+00       1.8103165e-04
      4      -6.6546814e+00      -6.6547275e+00       1.3642299e-04
      5      -6.6535992e+00      -6.6545018e+00       2.2945351e-04
      6      -6.6550575e+00      -6.6545944e+00       2.0906424e-04
      7      -6.6549614e+00      -6.6546469e+00       1.8565347e-04
      8      -6.6552649e+00      -6.6547241e+00       1.7779335e-04
      9      -6.6544276e+00      -6.6546912e+00       1.6106225e-04
     10      -6.6548255e+00      -6.6547046e+00       1.4551547e-04
     11      -6.6548591e+00      -6.6547186e+00       1.3296322e-04
     12      -6.6547181e+00      -6.6547186e+00       1.2188296e-04
     13      -6.6550428e+00      -6.6547435e+00       1.1502984e-04
     14      -6.6550119e+00      -6.6547627e+00       1.0839849e-04
     15      -6.6551005e+00      -6.6547852e+00       1.0348454e-04
     16      -6.6540784e+00      -6.6547410e+00       1.0602696e-04
     17      -6.6542802e+00      -6.6547139e+00       1.0319786e-04
     18      -6.6553008e+00      -6.6547465e+00       1.0248633e-04
     19      -6.6542610e+00      -6.6547210e+00       1.0022721e-04
     20      -6.6548299e+00      -6.6547264e+00       9.5363771e-05
