#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       5.9864373e-02       5.9864373e-02       0.0000000e+00
      2       6.0349647e-02       6.0107010e-02       1.7157033e-04
      3       5.9946424e-02       6.0053482e-02       1.2244612e-04
      4       6.0554635e-02       6.0178770e-02       1.4214943e-04
      5       5.8430190e-02       5.9829054e-02       3.3282591e-04
      6       5.9896145e-02       5.9840236e-02       2.7754270e-04
      7       5.8978270e-02       5.9717098e-02       2.6379966e-04
      8       6.0590081e-02       5.9826221e-02       2.5238736e-04
      9       6.0099272e-02       5.9856560e-02       2.2616048e-04
     10       6.0964113e-02       5.9967315e-02       2.2906420e-04
     11       5.8999106e-02       5.9879296e-02       2.2451508e-04
     12       5.9683303e-02       5.9862963e-02       2.0639871e-04
     13       5.9522885e-02       5.9836804e-02       1.9217254e-04
     14       5.9683714e-02       5.9825869e-02       1.7875677e-04
     15       5.9291057e-02       5.9790214e-02       1.7035826e-04
     16       5.9829290e-02       5.9792657e-02       1.5972838e-04
     17       6.0313014e-02       5.9823266e-02       1.5323740e-04
     18       5.9083604e-02       5.9782174e-02       1.5013283e-04
     19       6.0144118e-02       5.9801223e-02       1.4343458e-04
     20       5.9237932e-02       5.9773059e-02       1.3900052e-04
