#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       8.9319244e-01       8.9319244e-01       0.0000000e+00
      2       8.9890415e-01       8.9604829e-01       2.0193926e-03
      3       8.9579806e-01       8.9596488e-01       1.3479833e-03
      4       8.9623366e-01       8.9603208e-01       1.0126609e-03
      5       8.9487099e-01       8.9579986e-01       8.3633035e-04
      6       8.9692753e-01       8.9598781e-01       7.1774948e-04
      7       8.9244299e-01       8.9548140e-01       7.7349648e-04
      8       8.9426454e-01       8.9532930e-01       6.9160369e-04
      9       8.9911473e-01       8.9574990e-01       7.3155967e-04
     10       8.9636820e-01       8.9581173e-01       6.6101141e-04
     11       8.9380260e-01       8.9562908e-01       6.2564509e-04
     12       8.9465034e-01       8.9554752e-01       5.7879997e-04
     13       8.9365854e-01       8.9540221e-01       5.5221510e-04
     14       8.9551237e-01       8.9541008e-01       5.1282722e-04
     15       8.9753962e-01       8.9555205e-01       4.9790217e-04
     16       8.9754903e-01       8.9567686e-01       4.8217307e-04
     17       8.9754794e-01       8.9578693e-01       4.6620262e-04
     18       8.9287335e-01       8.9562506e-01       4.6755866e-04
     19       8.9384929e-01       8.9553160e-01       4.5219496e-04
     20       8.9540716e-01       8.9552538e-01       4.2962802e-04
