#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       9.6658121e-01       9.6658121e-01       0.0000000e+00
      2       9.6588240e-01       9.6623181e-01       2.4706471e-04
      3       9.6635482e-01       9.6627281e-01       1.6807813e-04
      4       9.6639188e-01       9.6630258e-01       1.2866769e-04
      5       9.6562774e-01       9.6616761e-01       1.5864518e-04
      6       9.6653962e-01       9.6622961e-01       1.4381073e-04
      7       9.6667739e-01       9.6629358e-01       1.3675493e-04
      8       9.6676128e-01       9.6635204e-01       1.3156446e-04
      9       9.6616591e-01       9.6633136e-01       1.1856059e-04
     10       9.6640323e-01       9.6633855e-01       1.0692212e-04
     11       9.6648289e-01       9.6635167e-01       9.8003828e-05
     12       9.6619061e-01       9.6633825e-01       9.0751245e-05
     13       9.6656736e-01       9.6635587e-01       8.5464505e-05
     14       9.6644149e-01       9.6636199e-01       7.9578379e-05
     15       9.6650646e-01       9.6637162e-01       7.4853731e-05
     16       9.6581137e-01       9.6633660e-01       7.7936124e-05
     17       9.6587241e-01       9.6630930e-01       7.7988377e-05
     18       9.6653078e-01       9.6632160e-01       7.4620054e-05
     19       9.6591109e-01       9.6630000e-01       7.3754322e-05
     20       9.6649318e-01       9.6630966e-01       7.0696259e-05
