#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       9.5000000e-01       9.5000000e-01       0.0000000e+00
      2       9.5000001e-01       9.5000001e-01       7.4505806e-09
      3       9.5000006e-01       9.5000002e-01       1.4901161e-08
      4       9.5000013e-01       9.5000005e-01       2.5809568e-08
      5       9.5000023e-01       9.5000009e-01       3.8570699e-08
      6       9.5000036e-01       9.5000013e-01       5.3033621e-08
      7       9.5000052e-01       9.5000019e-01       6.8748658e-08
      8       9.5000071e-01       9.5000025e-01       8.5600654e-08
      9       9.5000093e-01       9.5000033e-01       1.0383400e-07
     10       9.5000117e-01       9.5000041e-01       1.2310379e-07
     11       9.5000145e-01       9.5000051e-01       1.4345556e-07
     12       9.5000175e-01       9.5000061e-01       1.6481340e-07
     13       9.5000209e-01       9.5000072e-01       1.8716786e-07
     14       9.5000245e-01       9.5000085e-01       2.1041413e-07
     15       9.5000284e-01       9.5000098e-01       2.3450596e-07
     16       9.5000326e-01       9.5000112e-01       2.5948994e-07
     17       9.5000371e-01       9.5000127e-01       2.8527066e-07
     18       9.5000418e-01       9.5000144e-01       3.1185820e-07
     19       9.5000469e-01       9.5000161e-01       3.3918774e-07
     20       9.5000522e-01       9.5000179e-01       3.6727660e-07
     21       9.5000579e-01       9.5000198e-01       3.9609390e-07
     22       9.5000638e-01       9.5000218e-01       4.2563859e-07
     23       9.5000700e-01       9.5000239e-01       4.5587728e-07
     24       9.5000765e-01       9.5000261e-01       4.8679344e-07
     25       9.5000833e-01       9.5000284e-01       5.1837625e-07
     26       9.5000904e-01       9.5000308e-01       5.5060283e-07
     27       9.5000978e-01       9.5000332e-01       5.8346851e-07
     28       9.5001054e-01       9.5000358e-01       6.1696026e-07
     29       9.5001134e-01       9.5000385e-01       6.5106309e-07
     30       9.5001216e-01       9.5000413e-01       6.8577188e-07
     31       9.5001301e-01       9.5000441e-01       7.2107039e-07
     32       9.5001389e-01       9.5000471e-01       7.5695387e-07
     33       9.5001480e-01       9.5000501e-01       7.9340601e-07
     34       9.5001574e-01       9.5000533e-01       8.3041883e-07
     35       9.5001671e-01       9.5000565e-01       8.6799013e-07
     36       9.5001770e-01       9.5000599e-01       9.0610279e-07
     37       9.5001873e-01       9.5000633e-01       9.4476151e-07
     38       9.5001978e-01       9.5000669e-01       9.8395036e-07
     39       9.5002086e-01       9.5000705e-01       1.0236572e-06
     40       9.5002197e-01       9.5000742e-01       1.0638871e-06
     41       9.5002311e-01       9.5000781e-01       1.1046242e-06
     42       9.5002428e-01       9.5000820e-01       1.1458667e-06
     43       9.5002548e-01       9.5000860e-01       1.1876065e-06
     44       9.5002671e-01       9.5000901e-01       1.2298404e-06
     45       9.5002796e-01       9.5000943e-01       1.2725578e-06
     46       9.5002925e-01       9.5000986e-01       1.3157552e-06
     47       9.5003056e-01       9.5001030e-01       1.3594279e-06
     48       9.5003190e-01       9.5001075e-01       1.4035737e-06
     49       9.5003327e-01       9.5001121e-01       1.4481838e-06
     50       9.5003467e-01       9.5001168e-01       1.4932547e-06
     51       9.5003609e-01       9.5001216e-01       1.5387802e-06
     52       9.5003755e-01       9.5001265e-01       1.5847577e-06
     53       9.5003904e-01       9.5001315e-01       1.6311806e-06
     54       9.5004055e-01       9.5001366e-01       1.6780484e-06
     55       9.5004209e-01       9.5001417e-01       1.7253536e-06
     56       9.5004366e-01       9.5001470e-01       1.7730928e-06
     57       9.5004526e-01       9.5001524e-01       1.8212648e-06
     58       9.5004689e-01       9.5001578e-01       1.8698618e-06
     59       9.5004855e-01       9.5001634e-01       1.9188818e-06
     60       9.5005024e-01       9.5001690e-01       1.9683225e-06
     61       9.5005195e-01       9.5001748e-01       2.0181789e-06
     62       9.5005369e-01       9.5001806e-01       2.0684476e-06
