#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       1.5500000e+00       1.5500000e+00       0.0000000e+00
      2       1.5498554e+00       1.5499277e+00       5.1110992e-05
      3       1.5494221e+00       1.5497592e+00       1.4175080e-04
      4       1.5487008e+00       1.5494946e+00       2.5260927e-04
      5       1.5476920e+00       1.5491341e+00       3.8055001e-04
      6       1.5463964e+00       1.5486778e+00       5.2350792e-04
      7       1.5448146e+00       1.5481259e+00       6.8000693e-04
      8       1.5429474e+00       1.5474786e+00       8.4892127e-04
      9       1.5407954e+00       1.5467360e+00       1.0293537e-03
     10       1.5383601e+00       1.5458984e+00       1.2205126e-03
     11       1.5356431e+00       1.5449661e+00       1.4217190e-03
     12       1.5326470e+00       1.5439395e+00       1.6323351e-03
     13       1.5293734e+00       1.5428191e+00       1.8518197e-03
     14       1.5258217e+00       1.5416050e+00       2.0798033e-03
     15       1.5219929e+00       1.5402975e+00       2.3159402e-03
     16       1.5178890e+00       1.5388970e+00       2.5598775e-03
     17       1.5135097e+00       1.5374036e+00       2.8113467e-03
     18       1.5088569e+00       1.5358177e+00       3.0700674e-03
     19       1.5039326e+00       1.5341395e+00       3.3357591e-03
     20       1.4987370e+00       1.5323694e+00       3.6081937e-03
     21       1.4932718e+00       1.5305076e+00       3.8871409e-03
     22       1.4875380e+00       1.5285544e+00       4.1723971e-03
     23       1.4815367e+00       1.5265102e+00       4.4637713e-03
     24       1.4752690e+00       1.5243751e+00       4.7610818e-03
     25       1.4687349e+00       1.5221495e+00       5.0641826e-03
     26       1.4619340e+00       1.5198335e+00       5.3729494e-03
     27       1.4548678e+00       1.5174274e+00       5.6872529e-03
     28       1.4475387e+00       1.5149314e+00       6.0069447e-03
     29       1.4399491e+00       1.5123458e+00       6.3318679e-03
     30       1.4321003e+00       1.5096709e+00       6.6618763e-03
     31       1.4239937e+00       1.5069071e+00       6.9968275e-03
     32       1.4156318e+00       1.5040548e+00       7.3365764e-03
     33       1.4070153e+00       1.5011142e+00       7.6809941e-03
     34       1.3981448e+00       1.4980857e+00       8.0299680e-03
     35       1.3890220e+00       1.4949696e+00       8.3833833e-03
     36       1.3796503e+00       1.4917663e+00       8.7411109e-03
     37       1.3700326e+00       1.4884762e+00       9.1030168e-03
     38       1.3601713e+00       1.4850997e+00       9.4689684e-03
     39       1.3500695e+00       1.4816374e+00       9.8388281e-03
     40       1.3397304e+00       1.4780897e+00       1.0212456e-02
     41       1.3291575e+00       1.4744572e+00       1.0589710e-02
     42       1.3183541e+00       1.4707405e+00       1.0970447e-02
     43       1.3073235e+00       1.4669401e+00       1.1354523e-02
     44       1.2960702e+00       1.4630567e+00       1.1741791e-02
     45       1.2845989e+00       1.4590910e+00       1.2132094e-02
     46       1.2729138e+00       1.4550436e+00       1.2525278e-02
     47       1.2610193e+00       1.4509155e+00       1.2921184e-02
     48       1.2489207e+00       1.4467072e+00       1.3319652e-02
     49       1.2366236e+00       1.4424198e+00       1.3720514e-02
     50       1.2241340e+00       1.4380541e+00       1.4123597e-02
     51       1.2114571e+00       1.4336110e+00       1.4528729e-02
     52       1.1985990e+00       1.4290916e+00       1.4935734e-02
     53       1.1855661e+00       1.4244967e+00       1.5344433e-02
     54       1.1723654e+00       1.4198276e+00       1.5754641e-02
     55       1.1590049e+00       1.4150854e+00       1.6166164e-02
     56       1.1454920e+00       1.4102712e+00       1.6578806e-02
     57       1.1318341e+00       1.4053864e+00       1.6992368e-02
     58       1.1180397e+00       1.4004321e+00       1.7406644e-02
     59       1.1041168e+00       1.3954098e+00       1.7821429e-02
     60       1.0900738e+00       1.3903209e+00       1.8236513e-02
     61       1.0759197e+00       1.3851668e+00       1.8651683e-02
     62       1.0616642e+00       1.3799490e+00       1.9066720e-02
     63       1.0473167e+00       1.3746691e+00       1.9481404e-02
     64       1.0328876e+00       1.3693288e+00       1.9895506e-02
     65       1.0183873e+00       1.3639297e+00       2.0308798e-02
     66       1.0038264e+00       1.3584736e+00       2.0721043e-02
     67       9.8921607e-01       1.3529623e+00       2.1132006e-02
     68       9.7456762e-01       1.3473976e+00       2.1541443e-02
     69       9.5989255e-01       1.3417816e+00       2.1949112e-02
     70       9.4520292e-01       1.3361162e+00       2.2354765e-02
     71       9.3051073e-01       1.3304035e+00       2.2758152e-02
     72       9.1582794e-01       1.3246455e+00       2.3159023e-02
     73       9.0116720e-01       1.3188444e+00       2.3557126e-02
     74       8.8654120e-01       1.3130025e+00       2.3952207e-02
     75       8.7196235e-01       1.3071219e+00       2.4344013e-02
     76       8.5744329e-01       1.3012051e+00       2.4732290e-02
     77       8.4299694e-01       1.2952543e+00       2.5116787e-02
     78       8.2863648e-01       1.2892721e+00       2.5497251e-02
     79       8.1437488e-01       1.2832607e+00       2.5873432e-02
     80       8.0022510e-01       1.2772228e+00       2.6245082e-02
     81       7.8620010e-01       1.2711608e+00       2.6611953e-02
     82       7.7231279e-01       1.2650772e+00       2.6973803e-02
     83       7.5857596e-01       1.2589748e+00       2.7330394e-02
     84       7.4500212e-01       1.2528561e+00       2.7681489e-02
     85       7.3160378e-01       1.2467237e+00       2.8026858e-02
     86       7.1839373e-01       1.2405803e+00       2.8366276e-02
     87       7.0538436e-01       1.2344287e+00       2.8699520e-02
     88       6.9258680e-01       1.2282714e+00       2.9026379e-02
     89       6.8001283e-01       1.2221112e+00       2.9346645e-02
     90       6.6767347e-01       1.2159507e+00       2.9660118e-02
     91       6.5557857e-01       1.2097928e+00       2.9966611e-02
     92       6.4373838e-01       1.2036400e+00       3.0265941e-02
     93       6.3216286e-01       1.1974951e+00       3.0557938e-02
     94       6.2086136e-01       1.1913607e+00       3.0842438e-02
     95       6.0984254e-01       1.1852395e+00       3.1119289e-02
     96       5.9911475e-01       1.1791340e+00       3.1388349e-02
     97       5.8868589e-01       1.1730469e+00       3.1649485e-02
     98       5.7856329e-01       1.1669808e+00       3.1902576e-02
     99       5.6875359e-01       1.1609381e+00       3.2147511e-02
    100       5.5926297e-01       1.1549213e+00       3.2384191e-02
    101       5.5009723e-01       1.1489330e+00       3.2612528e-02
    102       5.4126146e-01       1.1429754e+00       3.2832444e-02
    103       5.3275974e-01       1.1370510e+00       3.3043873e-02
    104       5.2459560e-01       1.1311620e+00       3.3246763e-02
    105       5.1677280e-01       1.1253107e+00       3.3441071e-02
    106       5.0929388e-01       1.1194992e+00       3.3626765e-02
    107       5.0216013e-01       1.1137296e+00       3.3803827e-02
    108       4.9537288e-01       1.1080041e+00       3.3972249e-02
    109       4.8893299e-01       1.1023246e+00       3.4132035e-02
    110       4.8284058e-01       1.0966929e+00       3.4283199e-02
    111       4.7709514e-01       1.0911109e+00       3.4425768e-02
    112       4.7169570e-01       1.0855804e+00       3.4559776e-02
    113       4.6664116e-01       1.0801031e+00       3.4685270e-02
    114       4.6192954e-01       1.0746805e+00       3.4802306e-02
    115       4.5755808e-01       1.0693142e+00       3.4910948e-02
    116       4.5352379e-01       1.0640057e+00       3.5011272e-02
    117       4.4982296e-01       1.0587563e+00       3.5103361e-02
    118       4.4645148e-01       1.0535673e+00       3.5187309e-02
    119       4.4340496e-01       1.0484398e+00       3.5263216e-02
    120       4.4067866e-01       1.0433752e+00       3.5331191e-02
    121       4.3826762e-01       1.0383743e+00       3.5391349e-02
    122       4.3616628e-01       1.0334381e+00       3.5443812e-02
    123       4.3436839e-01       1.0285677e+00       3.5488711e-02
    124       4.3286773e-01       1.0237636e+00       3.5526179e-02
    125       4.3165757e-01       1.0190268e+00       3.5556359e-02
    126       4.3073108e-01       1.0143578e+00       3.5579396e-02
    127       4.3008121e-01       1.0097572e+00       3.5595442e-02
    128       4.2970010e-01       1.0052255e+00       3.5604652e-02
    129       4.2957999e-01       1.0007631e+00       3.5607185e-02
    130       4.2971301e-01       9.9637041e-01       3.5603206e-02
    131       4.3009115e-01       9.9204767e-01       3.5592880e-02
    132       4.3070644e-01       9.8779508e-01       3.5576376e-02
    133       4.3155074e-01       9.8361279e-01       3.5553865e-02
    134       4.3261555e-01       9.7950087e-01       3.5525521e-02
    135       4.3389223e-01       9.7545933e-01       3.5491517e-02
    136       4.3537199e-01       9.7148810e-01       3.5452029e-02
    137       4.3704600e-01       9.6758706e-01       3.5407234e-02
    138       4.3890549e-01       9.6375603e-01       3.5357308e-02
    139       4.4094198e-01       9.5999478e-01       3.5302430e-02
    140       4.4314708e-01       9.5630301e-01       3.5242776e-02
    141       4.4551186e-01       9.5268038e-01       3.5178521e-02
    142       4.4802732e-01       9.4912649e-01       3.5109841e-02
    143       4.5068520e-01       9.4564088e-01       3.5036911e-02
    144       4.5347675e-01       9.4222308e-01       3.4959903e-02
    145       4.5639283e-01       9.3887252e-01       3.4878989e-02
    146       4.5942534e-01       9.3558864e-01       3.4794339e-02
    147       4.6256588e-01       9.3237080e-01       3.4706119e-02
    148       4.6580587e-01       9.2921833e-01       3.4614497e-02
    149       4.6913725e-01       9.2613054e-01       3.4519633e-02
    150       4.7255206e-01       9.2310668e-01       3.4421690e-02
    151       4.7604253e-01       9.2014599e-01       3.4320823e-02
    152       4.7960089e-01       9.1724767e-01       3.4217188e-02
    153       4.8321980e-01       9.1441089e-01       3.4110936e-02
    154       4.8689170e-01       9.1163479e-01       3.4002214e-02
    155       4.9060916e-01       9.0891849e-01       3.3891168e-02
    156       4.9436544e-01       9.0626110e-01       3.3777939e-02
    157       4.9815393e-01       9.0366169e-01       3.3662664e-02
    158       5.0196769e-01       9.0111933e-01       3.3545478e-02
    159       5.0579990e-01       8.9863304e-01       3.3426511e-02
    160       5.0964436e-01       8.9620186e-01       3.3305890e-02
    161       5.1349506e-01       8.9382480e-01       3.3183739e-02
    162       5.1734636e-01       8.9150086e-01       3.3060177e-02
    163       5.2119324e-01       8.8922903e-01       3.2935318e-02
    164       5.2503050e-01       8.8700831e-01       3.2809276e-02
    165       5.2885289e-01       8.8483767e-01       3.2682157e-02
    166       5.3265548e-01       8.8271609e-01       3.2554065e-02
    167       5.3643327e-01       8.8064254e-01       3.2425102e-02
    168       5.4018195e-01       8.7861599e-01       3.2295362e-02
    169       5.4389732e-01       8.7663541e-01       3.2164940e-02
    170       5.4757508e-01       8.7469976e-01       3.2033924e-02
    171       5.5121162e-01       8.7280801e-01       3.1902400e-02
    172       5.5480344e-01       8.7095915e-01       3.1770450e-02
    173       5.5834725e-01       8.6915215e-01       3.1638153e-02
    174       5.6184014e-01       8.6738598e-01       3.1505582e-02
    175       5.6527912e-01       8.6565966e-01       3.1372811e-02
    176       5.6866141e-01       8.6397217e-01       3.1239907e-02
    177       5.7198460e-01       8.6232252e-01       3.1106936e-02
