#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       1.1993596e+00       1.1993596e+00       0.0000000e+00
      2       1.2088697e+00       1.2041146e+00       3.3623305e-03
      3       1.2009024e+00       1.2030439e+00       2.4060109e-03
      4       1.2130865e+00       1.2055545e+00       2.8255684e-03
      5       1.1702933e+00       1.1985023e+00       6.7005298e-03
      6       1.1999425e+00       1.1987423e+00       5.5880723e-03
      7       1.1814340e+00       1.1962697e+00       5.3087090e-03
      8       1.2136419e+00       1.1984412e+00       5.0698368e-03
      9       1.2039093e+00       1.1990488e+00       4.5427808e-03
     10       1.2214048e+00       1.2012844e+00       4.6058639e-03
     11       1.1817049e+00       1.1995044e+00       4.5180121e-03
     12       1.1954330e+00       1.1991652e+00       4.1542313e-03
     13       1.1924538e+00       1.1986489e+00       3.8666206e-03
     14       1.1956273e+00       1.1984331e+00       3.5964521e-03
     15       1.1877069e+00       1.1977180e+00       3.4270406e-03
     16       1.1984431e+00       1.1977633e+00       3.2131502e-03
     17       1.2081161e+00       1.1983723e+00       3.0813116e-03
     18       1.1834754e+00       1.1975447e+00       3.0192247e-03
     19       1.2049504e+00       1.1979345e+00       2.8853681e-03
     20       1.1866076e+00       1.1973681e+00       2.7961283e-03
