#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       1.1016839e+00       1.1016839e+00       0.0000000e+00
      2       1.1089238e+00       1.1053038e+00       2.5597003e-03
      3       1.1050376e+00       1.1052151e+00       1.7080045e-03
      4       1.1053523e+00       1.1052494e+00       1.2813479e-03
      5       1.1038127e+00       1.1049620e+00       1.0568071e-03
      6       1.1062355e+00       1.1051743e+00       9.0173236e-04
      7       1.1002606e+00       1.1044723e+00       1.0098247e-03
      8       1.1029378e+00       1.1042805e+00       9.0162971e-04
      9       1.1097474e+00       1.1048880e+00       9.8503709e-04
     10       1.1056554e+00       1.1049647e+00       8.8951833e-04
     11       1.1022770e+00       1.1047204e+00       8.4154191e-04
     12       1.1033604e+00       1.1046070e+00       7.7900664e-04
     13       1.1021898e+00       1.1044211e+00       7.4094254e-04
     14       1.1045997e+00       1.1044338e+00       6.8812785e-04
     15       1.1071948e+00       1.1046179e+00       6.6641519e-04
     16       1.1074166e+00       1.1047928e+00       6.4731276e-04
     17       1.1075224e+00       1.1049534e+00       6.2883347e-04
     18       1.1010940e+00       1.1047390e+00       6.2939108e-04
     19       1.1023774e+00       1.1046147e+00       6.0841414e-04
     20       1.1044039e+00       1.1046041e+00       5.7808468e-04
