#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
      1       8.0496347e-01       8.0496347e-01       0.0000000e+00
      2       8.0430956e-01       8.0463651e-01       2.3119180e-04
      3       8.0467813e-01       8.0465038e-01       1.5454340e-04
      4       8.0480583e-01       8.0468924e-01       1.2069443e-04
      5       8.0401597e-01       8.0455459e-01       1.5436547e-04
      6       8.0492698e-01       8.0461665e-01       1.4056255e-04
      7       8.0498386e-01       8.0466911e-01       1.2990241e-04
      8       8.0508469e-01       8.0472106e-01       1.2361548e-04
      9       8.0453896e-01       8.0470083e-01       1.1152397e-04
     10       8.0477179e-01       8.0470792e-01       1.0059709e-04
     11       8.0487511e-01       8.0472312e-01       9.2592965e-05
     12       8.0459199e-01       8.0471219e-01       8.5519250e-05
     13       8.0495498e-01       8.0473087e-01       8.0954463e-05
     14       8.0480533e-01       8.0473619e-01       7.5346509e-05
     15       8.0487875e-01       8.0474569e-01       7.0920275e-05
     16       8.0424939e-01       8.0471467e-01       7.2956588e-05
     17       8.0425015e-01       8.0468735e-01       7.3604352e-05
     18       8.0493413e-01       8.0470106e-01       7.0780573e-05
     19       8.0432100e-01       8.0468106e-01       6.9824611e-05
     20       8.0487387e-01       8.0469070e-01       6.6995607e-05
