#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1       1.3920683e+00       1.3920683e+00       0.0000000e+00
      2       1.3920559e+00       1.3920621e+00       4.4000331e-06
      3       1.3921278e+00       1.3920840e+00       1.8106820e-05
      4       1.3920448e+00       1.3920742e+00       1.6017061e-05
      5       1.3921230e+00       1.3920839e+00       1.5500434e-05
      6       1.3920777e+00       1.3920829e+00       1.2951650e-05
      7       1.3921109e+00       1.3920869e+00       1.1703127e-05
      8       1.3920508e+00       1.3920824e+00       1.1078145e-05
      9       1.3920666e+00       1.3920806e+00       9.9853730e-06
     10       1.3920225e+00       1.3920748e+00       1.0543287e-05
     11       1.3921038e+00       1.3920775e+00       9.9081711e-06
     12       1.3921465e+00       1.3920832e+00       1.0623641e-05
     13       1.3921612e+00       1.3920892e+00       1.1374473e-05
     14       1.3921162e+00       1.3920911e+00       1.0723885e-05
     15       1.3921274e+00       1.3920936e+00       1.0278139e-05
     16       1.3921026e+00       1.3920941e+00       9.6512444e-06
     17       1.3920693e+00       1.3920927e+00       9.1933771e-06
     18       1.3921398e+00       1.3920953e+00       9.0480225e-06
     19       1.3920771e+00       1.3920943e+00       8.6224406e-06
     20       1.3920975e+00       1.3920945e+00       8.1927636e-06
