#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1      -3.3634524e+00      -3.3634524e+00       0.0000000e+00
      2      -3.3630206e+00      -3.3632365e+00       1.5266524e-04
      3      -3.3633355e+00      -3.3632695e+00       1.0528108e-04
      4      -3.3634541e+00      -3.3633156e+00       8.8506869e-05
      5      -3.3632721e+00      -3.3633069e+00       7.1232404e-05
      6      -3.3630091e+00      -3.3632573e+00       7.4676907e-05
      7      -3.3632596e+00      -3.3632576e+00       6.4009480e-05
      8      -3.3630021e+00      -3.3632257e+00       6.3479809e-05
      9      -3.3633289e+00      -3.3632371e+00       5.7453012e-05
     10      -3.3635466e+00      -3.3632681e+00       5.9461569e-05
     11      -3.3635029e+00      -3.3632894e+00       5.7760473e-05
     12      -3.3632683e+00      -3.3632877e+00       5.2973942e-05
     13      -3.3636143e+00      -3.3633128e+00       5.4531590e-05
     14      -3.3633540e+00      -3.3633157e+00       5.0715869e-05
     15      -3.3634143e+00      -3.3633223e+00       4.7758173e-05
     16      -3.3635918e+00      -3.3633392e+00       4.7650582e-05
     17      -3.3632392e+00      -3.3633333e+00       4.5209274e-05
     18      -3.3635062e+00      -3.3633429e+00       4.3706292e-05
     19      -3.3638135e+00      -3.3633676e+00       4.7913147e-05
     20      -3.3635253e+00      -3.3633755e+00       4.6161324e-05
