#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1      -5.4477090e+00      -5.4477090e+00       0.0000000e+00
      2      -5.4479294e+00      -5.4478192e+00       7.7928987e-05
      3      -5.4476634e+00      -5.4477673e+00       6.7058749e-05
      4      -5.4474727e+00      -5.4476936e+00       8.1220050e-05
      5      -5.4475752e+00      -5.4476700e+00       6.8339750e-05
      6      -5.4476670e+00      -5.4476695e+00       5.6951591e-05
      7      -5.4474856e+00      -5.4476432e+00       5.4537324e-05
      8      -5.4476378e+00      -5.4476425e+00       4.7724281e-05
      9      -5.4476191e+00      -5.4476399e+00       4.2492181e-05
     10      -5.4476678e+00      -5.4476427e+00       3.8334624e-05
     11      -5.4475465e+00      -5.4476340e+00       3.5834282e-05
     12      -5.4478301e+00      -5.4476503e+00       3.6385410e-05
     13      -5.4476103e+00      -5.4476472e+00       3.3716514e-05
     14      -5.4478039e+00      -5.4476584e+00       3.3112708e-05
     15      -5.4477824e+00      -5.4476667e+00       3.1919509e-05
     16      -5.4477043e+00      -5.4476690e+00       3.0011183e-05
     17      -5.4479049e+00      -5.4476829e+00       3.1289897e-05
     18      -5.4478997e+00      -5.4476950e+00       3.1784034e-05
     19      -5.4477795e+00      -5.4476994e+00       3.0421384e-05
     20      -5.4475191e+00      -5.4476904e+00       3.0206088e-05
