#BLOCK        AVERAGE          ERROR
     1      4.9424321      0.0000000
     2      4.9262508      0.0161813
     3      4.9710989      0.0458108
     4      4.9887571      0.0368935
     5      5.0308474      0.0508750
     6      5.0273252      0.0416883
     7      5.0357456      0.0362253
     8      5.0209455      0.0346879
     9      5.0209878      0.0305918
    10      5.0052246      0.0315779
    11      4.9952176      0.0302656
    12      4.9911850      0.0279213
    13      4.9919308      0.0256947
    14      4.9804318      0.0264221
    15      4.9811574      0.0246083
    16      4.9764912      0.0234872
    17      4.9722711      0.0224623
    18      4.9755963      0.0214371
    19      4.9892306      0.0244351
    20      4.9900886      0.0231970
    21      4.9896847      0.0220685
    22      4.9921386      0.0211841
    23      4.9927017      0.0202499
    24      4.9961772      0.0196969
    25      4.9981768      0.0189981
    26      5.0000117      0.0183448
    27      5.0003824      0.0176562
    28      4.9962296      0.0175134
    29      4.9925949      0.0172852
    30      4.9937330      0.0167378
    31      4.9920444      0.0162767
    32      4.9939482      0.0158744
    33      4.9956714      0.0154821
    34      4.9915048      0.0155870
    35      4.9938742      0.0153195
    36      4.9945006      0.0149010
    37      4.9943077      0.0144940
    38      4.9988474      0.0148198
    39      5.0005127      0.0145306
    40      4.9989633      0.0142472
    41      5.0015543      0.0141348
    42      5.0011404      0.0138004
    43      5.0032471      0.0136393
    44      4.9991245      0.0139488
    45      5.0024535      0.0140358
    46      5.0012468      0.0137803
    47      4.9978930      0.0138947
    48      4.9936715      0.0142422
    49      4.9945329      0.0139751
    50      4.9944729      0.0136928
    51      4.9968473      0.0136301
    52      4.9939524      0.0136753
    53      4.9949770      0.0134539
    54      4.9983836      0.0136348
    55      4.9975571      0.0134101
    56      4.9999785      0.0133892
    57      5.0014485      0.0132341
    58      5.0000720      0.0130766
    59      4.9996488      0.0128600
    60      4.9992205      0.0126511
    61      5.0009693      0.0125643
    62      5.0005508      0.0123671
    63      5.0020387      0.0122598
    64      5.0053272      0.0125068
    65      5.0053097      0.0123129
    66      5.0053334      0.0121250
    67      5.0076336      0.0121621
    68      5.0084590      0.0120103
    69      5.0069477      0.0119311
    70      5.0076903      0.0117828
    71      5.0076336      0.0116158
    72      5.0085770      0.0114922
    73      5.0100809      0.0114330
    74      5.0111311      0.0113262
    75      5.0103540      0.0112012
    76      5.0101984      0.0110539
    77      5.0106972      0.0109208
    78      5.0128090      0.0109848
    79      5.0135745      0.0108718
    80      5.0115874      0.0109174
    81      5.0114779      0.0107824
    82      5.0122205      0.0106759
    83      5.0136902      0.0106484
    84      5.0126318      0.0105740
    85      5.0134847      0.0104836
    86      5.0131834      0.0103654
    87      5.0144226      0.0103202
    88      5.0143320      0.0102027
    89      5.0148055      0.0100985
    90      5.0151166      0.0099905
    91      5.0146972      0.0098890
    92      5.0144080      0.0097852
    93      5.0142665      0.0096804
    94      5.0130198      0.0096577
    95      5.0118076      0.0096321
    96      5.0116139      0.0095332
    97      5.0102247      0.0095361
    98      5.0109535      0.0094664
    99      5.0106916      0.0093740
   100      5.0103859      0.0092848
