#BLOCK        AVERAGE          ERROR
     1      5.1890088      0.0000000
     2      5.0514483      0.1375604
     3      5.0820389      0.0851082
     4      5.0484259      0.0689314
     5      5.0576892      0.0541916
     6      5.0516181      0.0446618
     7      5.0272857      0.0449092
     8      5.0483317      0.0442218
     9      5.0366142      0.0407221
    10      5.0421612      0.0368429
    11      5.0423338      0.0333261
    12      5.0397363      0.0305331
    13      5.0323906      0.0290311
    14      5.0199837      0.0296030
    15      5.0183657      0.0276063
    16      5.0148937      0.0260557
    17      5.0072770      0.0256329
    18      4.9990008      0.0255448
    19      4.9919251      0.0251776
    20      4.9924292      0.0238909
    21      4.9944995      0.0228189
    22      5.0023276      0.0231224
    23      4.9967994      0.0227753
    24      4.9975992      0.0218203
    25      4.9968840      0.0209416
    26      5.0029174      0.0210051
    27      5.0030485      0.0202126
    28      5.0070246      0.0198791
    29      5.0097393      0.0193725
    30      5.0106536      0.0187379
    31      5.0118771      0.0181646
    32      5.0189398      0.0189529
    33      5.0152071      0.0187450
    34      5.0171488      0.0182887
    35      5.0150831      0.0178782
    36      5.0157195      0.0173862
    37      5.0144930      0.0169542
    38      5.0102516      0.0170383
    39      5.0116628      0.0166556
    40      5.0099748      0.0163214
    41      5.0110795      0.0159566
    42      5.0140195      0.0158472
    43      5.0163906      0.0156549
    44      5.0187246      0.0154720
    45      5.0167894      0.0152476
    46      5.0144525      0.0150944
    47      5.0107833      0.0152187
    48      5.0119244      0.0149419
    49      5.0107678      0.0146794
    50      5.0112540      0.0143910
    51      5.0109504      0.0141093
    52      5.0110463      0.0138357
    53      5.0110838      0.0135721
    54      5.0087936      0.0135139
    55      5.0053027      0.0137175
    56      5.0058875      0.0134830
    57      5.0043575      0.0133325
    58      5.0056544      0.0131646
    59      5.0061280      0.0129482
    60      5.0091286      0.0130794
    61      5.0080015      0.0129125
    62      5.0085151      0.0127129
    63      5.0062808      0.0127075
    64      5.0036074      0.0127899
    65      5.0037151      0.0125920
    66      5.0021658      0.0124962
    67      5.0022154      0.0123083
    68      5.0015007      0.0121470
    69      5.0017530      0.0119724
    70      5.0023064      0.0118131
    71      5.0017970      0.0116566
    72      5.0003486      0.0115845
    73      5.0005230      0.0114260
    74      4.9992216      0.0113454
    75      4.9982931      0.0112316
    76      4.9967580      0.0111886
    77      4.9971643      0.0110498
    78      4.9971673      0.0109073
    79      4.9986756      0.0108734
    80      4.9995528      0.0107724
    81      4.9984203      0.0106987
    82      5.0011530      0.0109151
    83      5.0006452      0.0107947
    84      4.9989512      0.0107991
    85      4.9975334      0.0107651
    86      4.9973225      0.0106413
    87      4.9970079      0.0105229
    88      4.9954620      0.0105169
    89      4.9961715      0.0104223
    90      4.9957391      0.0103149
    91      4.9971086      0.0102924
    92      4.9975699      0.0101904
    93      4.9984185      0.0101159
    94      4.9987048      0.0100118
    95      4.9972476      0.0100124
    96      4.9957428      0.0100212
    97      4.9944676      0.0099990
    98      4.9946847      0.0098988
    99      4.9969466      0.0100560
   100      4.9976138      0.0099773
