#BLOCK        AVERAGE          ERROR
     1      1.4809541      0.0000000
     2      1.4748262      0.0061278
     3      1.4929393      0.0184553
     4      1.4953901      0.0132780
     5      1.5028187      0.0126873
     6      1.4963698      0.0122024
     7      1.4914801      0.0114134
     8      1.4912820      0.0098863
     9      1.4926846      0.0088310
    10      1.4914424      0.0079957
    11      1.4943252      0.0077858
    12      1.4950131      0.0071406
    13      1.4912789      0.0075556
    14      1.4895616      0.0072029
    15      1.4886599      0.0067659
    16      1.4906649      0.0066389
    17      1.4895531      0.0063345
    18      1.4875169      0.0063098
    19      1.4886647      0.0060778
    20      1.4881205      0.0057916
    21      1.4895922      0.0057021
    22      1.4884408      0.0055573
    23      1.4884403      0.0053102
    24      1.4878558      0.0051176
    25      1.4880384      0.0049120
    26      1.4893221      0.0048908
    27      1.4912412      0.0050824
    28      1.4918826      0.0049394
    29      1.4916664      0.0047709
    30      1.4938759      0.0051114
    31      1.4928908      0.0050409
    32      1.4938992      0.0049839
    33      1.4951735      0.0049958
    34      1.4930059      0.0053093
    35      1.4928631      0.0051574
    36      1.4927552      0.0050132
    37      1.4941793      0.0050796
    38      1.4943680      0.0049477
    39      1.4950860      0.0048723
    40      1.4948965      0.0047528
    41      1.4953209      0.0046548
    42      1.4953636      0.0045428
    43      1.4947875      0.0044731
    44      1.4957090      0.0044664
    45      1.4962413      0.0043983
    46      1.4969309      0.0043566
    47      1.4963319      0.0043048
    48      1.4960628      0.0042227
    49      1.4962393      0.0041394
    50      1.4955471      0.0041144
    51      1.4956368      0.0040339
    52      1.4943644      0.0041552
    53      1.4937139      0.0041276
    54      1.4946436      0.0041558
    55      1.4944560      0.0040838
    56      1.4942909      0.0040137
    57      1.4947976      0.0039750
    58      1.4942816      0.0039398
    59      1.4934013      0.0039713
    60      1.4935608      0.0039078
    61      1.4939683      0.0038647
    62      1.4944719      0.0038351
    63      1.4938494      0.0038247
    64      1.4953665      0.0040587
    65      1.4945205      0.0040844
    66      1.4944034      0.0040237
    67      1.4951037      0.0040246
    68      1.4947336      0.0039822
    69      1.4941051      0.0039741
    70      1.4952294      0.0040751
    71      1.4957722      0.0040538
    72      1.4954682      0.0040086
    73      1.4960090      0.0039902
    74      1.4965943      0.0039792
    75      1.4958720      0.0039916
    76      1.4954104      0.0039657
    77      1.4948169      0.0039586
    78      1.4960292      0.0040913
    79      1.4963332      0.0040506
    80      1.4965111      0.0040036
    81      1.4969892      0.0039826
    82      1.4971361      0.0039365
    83      1.4978096      0.0039467
    84      1.4970691      0.0039691
    85      1.4972311      0.0039255
    86      1.4971422      0.0038806
    87      1.4971852      0.0038360
    88      1.4974762      0.0038033
    89      1.4973827      0.0037614
    90      1.4976678      0.0037303
    91      1.4970927      0.0037336
    92      1.4974462      0.0037097
    93      1.4972785      0.0036734
    94      1.4969303      0.0036508
    95      1.4967292      0.0036178
    96      1.4958741      0.0036806
    97      1.4958515      0.0036425
    98      1.4962465      0.0036267
    99      1.4963208      0.0035907
   100      1.4964408      0.0035566
