#BLOCK        AVERAGE          ERROR
     1      1.5515819      0.0000000
     2      1.5138791      0.0377028
     3      1.5350659      0.0303762
     4      1.5227536      0.0247578
     5      1.5387621      0.0249808
     6      1.5447669      0.0212623
     7      1.5381069      0.0191644
     8      1.5422701      0.0171110
     9      1.5342819      0.0170744
    10      1.5249217      0.0179120
    11      1.5274837      0.0164033
    12      1.5274415      0.0149742
    13      1.5241443      0.0141634
    14      1.5199544      0.0137659
    15      1.5151581      0.0136835
    16      1.5141976      0.0128357
    17      1.5113105      0.0123979
    18      1.5097544      0.0117920
    19      1.5106237      0.0111879
    20      1.5079038      0.0109567
    21      1.5081148      0.0104241
    22      1.5103869      0.0101954
    23      1.5073388      0.0102077
    24      1.5086468      0.0098603
    25      1.5085528      0.0094581
    26      1.5081776      0.0090948
    27      1.5064601      0.0089184
    28      1.5071406      0.0086209
    29      1.5087583      0.0084742
    30      1.5084058      0.0081944
    31      1.5083685      0.0079257
    32      1.5109242      0.0080884
    33      1.5108628      0.0078398
    34      1.5097974      0.0076799
    35      1.5102270      0.0074697
    36      1.5110298      0.0073034
    37      1.5103924      0.0071318
    38      1.5079450      0.0073604
    39      1.5102818      0.0075405
    40      1.5082354      0.0076291
    41      1.5081618      0.0074411
    42      1.5079761      0.0072641
    43      1.5071716      0.0071387
    44      1.5063350      0.0070245
    45      1.5059493      0.0068775
    46      1.5050366      0.0067879
    47      1.5054508      0.0066548
    48      1.5056618      0.0065181
    49      1.5059006      0.0063882
    50      1.5059955      0.0062599
    51      1.5058362      0.0061380
    52      1.5060911      0.0060242
    53      1.5060123      0.0059099
    54      1.5050271      0.0058825
    55      1.5044668      0.0058017
    56      1.5053844      0.0057706
    57      1.5044891      0.0057387
    58      1.5049633      0.0056588
    59      1.5056776      0.0056077
    60      1.5063485      0.0055542
    61      1.5058988      0.0054808
    62      1.5059923      0.0053925
    63      1.5053729      0.0053423
    64      1.5056018      0.0052631
    65      1.5056258      0.0051816
    66      1.5042048      0.0052966
    67      1.5040540      0.0052191
    68      1.5039400      0.0051431
    69      1.5042473      0.0050773
    70      1.5043257      0.0050049
    71      1.5030071      0.0051070
    72      1.5022994      0.0050851
    73      1.5019294      0.0050286
    74      1.5009223      0.0050614
    75      1.5004808      0.0050129
    76      1.4999989      0.0049699
    77      1.4997042      0.0049138
    78      1.5003538      0.0048937
    79      1.5001486      0.0048357
    80      1.5006913      0.0048056
    81      1.5001560      0.0047760
    82      1.5004526      0.0047267
    83      1.5002500      0.0046738
    84      1.5002861      0.0046180
    85      1.5002539      0.0045635
    86      1.5003228      0.0045106
    87      1.5006850      0.0044732
    88      1.4997428      0.0045213
    89      1.5002737      0.0045016
    90      1.5003657      0.0044523
    91      1.5003546      0.0044031
    92      1.5002906      0.0043554
    93      1.5003582      0.0043089
    94      1.4999489      0.0042824
    95      1.4995133      0.0042594
    96      1.4992038      0.0042262
    97      1.4989019      0.0041932
    98      1.4985023      0.0041694
    99      1.4989711      0.0041536
   100      1.4985802      0.0041304
