#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
       1    -0.17    -0.50    -0.40     0.66
       2    -0.17    -0.50    -0.40     0.66
       3    -0.17    -0.50    -0.40     0.66
       4     0.46     0.19    -0.62     0.79
       5     0.46     0.19    -0.62     0.79
       6    -0.33     0.23     0.44     0.60
       7    -0.33     0.23     0.44     0.60
       8    -0.33     0.23     0.44     0.60
       9     0.43    -0.37    -0.12     0.58
      10     1.38    -1.18     0.40     1.86
      11     1.38    -1.18     0.40     1.86
      12     1.38    -1.18     0.40     1.86
      13     1.73    -1.63     0.05     2.38
      14     1.63    -0.82    -0.13     1.83
      15     0.49    -1.41     0.68     1.64
      16     0.97    -0.39    -0.07     1.05
      17     0.97    -0.39    -0.07     1.05
      18     0.97    -0.39    -0.07     1.05
      19     0.97    -0.39    -0.07     1.05
      20     1.08    -0.82    -1.06     1.72
      21     1.08    -0.82    -1.06     1.72
      22     0.77    -1.67    -1.33     2.26
      23    -0.16    -2.24    -0.96     2.45
      24    -0.16    -2.24    -0.96     2.45
      25    -0.16    -2.24    -0.96     2.45
      26    -1.05    -1.88    -0.27     2.17
      27    -1.05    -1.88    -0.27     2.17
      28    -1.05    -1.88    -0.27     2.17
      29    -0.23    -2.24    -0.24     2.27
      30    -0.14    -2.40     0.36     2.43
      31    -0.10    -2.89    -0.47     2.93
      32    -0.10    -2.89    -0.47     2.93
      33    -0.80    -2.15     0.70     2.40
      34     0.36    -1.24    -0.00     1.29
      35     0.36    -1.24    -0.00     1.29
      36    -0.15    -2.29    -0.40     2.33
      37    -0.15    -2.29    -0.40     2.33
      38    -1.32    -1.40    -0.42     1.97
      39    -2.01    -1.10    -0.08     2.29
      40    -1.25    -1.79    -0.09     2.18
      41    -1.14    -1.80     1.11     2.40
      42    -0.98    -1.11     0.66     1.63
      43    -0.23    -0.56    -0.48     0.78
      44    -0.23    -0.56    -0.48     0.78
      45    -0.23    -0.56    -0.48     0.78
      46    -0.84    -0.14     0.33     0.91
      47    -0.84    -0.14     0.33     0.91
      48    -0.84    -0.14     0.33     0.91
      49    -0.84    -0.14     0.33     0.91
      50    -0.84    -0.14     0.33     0.91
      51    -0.84    -0.14     0.33     0.91
      52    -0.84    -0.14     0.33     0.91
      53    -0.84    -0.14     0.33     0.91
      54    -0.84    -0.14     0.33     0.91
      55    -0.84    -0.14     0.33     0.91
      56    -0.88     0.83    -0.20     1.23
      57    -0.88     0.83    -0.20     1.23
      58     0.12     0.76     0.92     1.20
      59    -0.37     0.90    -0.24     1.00
      60    -0.37     0.90    -0.24     1.00
      61     0.63     1.11    -0.57     1.40
      62     0.97     0.08    -0.78     1.25
      63     0.59    -0.30     0.30     0.72
      64     0.59    -0.30     0.30     0.72
      65    -0.04     0.73    -0.49     0.88
      66    -0.04     0.73    -0.49     0.88
      67    -0.04     0.73    -0.49     0.88
      68    -0.82    -0.37    -0.65     1.11
      69    -0.82    -0.37    -0.65     1.11
      70    -0.82    -0.37    -0.65     1.11
      71    -1.40    -0.33     0.25     1.46
      72    -0.53    -0.03    -0.63     0.83
      73     0.56    -0.42    -0.41     0.81
      74     0.56    -0.42    -0.41     0.81
      75     0.40    -0.46    -0.35     0.70
      76     0.40    -0.46    -0.35     0.70
      77     0.40    -0.46    -0.35     0.70
      78    -0.78     0.00     0.26     0.83
      79    -0.09    -0.43     0.13     0.46
      80    -0.09    -0.43     0.13     0.46
      81    -0.09    -0.43     0.13     0.46
      82    -0.09    -0.43     0.13     0.46
      83    -0.09    -0.43     0.13     0.46
      84    -0.09    -0.43     0.13     0.46
      85    -0.09    -0.43     0.13     0.46
      86    -0.09    -0.43     0.13     0.46
      87    -0.09    -0.43     0.13     0.46
      88    -0.45    -0.99     0.02     1.09
      89    -0.45    -0.99     0.02     1.09
      90    -0.45    -0.99     0.02     1.09
      91    -0.45    -0.99     0.02     1.09
      92    -0.33    -0.92    -0.80     1.26
      93    -0.33    -0.92    -0.80     1.26
      94     0.27    -1.29     0.35     1.37
      95     0.27    -1.29     0.35     1.37
      96     0.27    -1.29     0.35     1.37
      97     0.27    -1.29     0.35     1.37
      98     0.07    -1.02     1.33     1.68
      99     0.07    -1.02     1.33     1.68
     100    -0.41    -0.29     0.52     0.72
     101    -0.41    -0.29     0.52     0.72
     102    -0.41    -0.29     0.52     0.72
     103    -0.41    -0.29     0.52     0.72
     104     0.01     0.11     1.17     1.18
     105     0.01     0.11     1.17     1.18
     106     0.01     0.11     1.17     1.18
     107    -0.63    -0.18     0.91     1.12
     108    -0.63    -0.18     0.91     1.12
     109    -0.63    -0.18     0.91     1.12
     110    -0.63    -0.18     0.91     1.12
     111     0.45     0.61     0.76     1.08
     112     0.45     0.61     0.76     1.08
     113    -0.20     0.57     1.25     1.39
     114     0.99    -0.33     0.37     1.11
     115     0.99    -0.33     0.37     1.11
     116     0.99    -0.33     0.37     1.11
     117     0.99    -0.33     0.37     1.11
     118    -0.18     0.52     0.75     0.93
     119     0.09     0.82     1.10     1.37
     120     0.09     0.82     1.10     1.37
     121     0.09     0.82     1.10     1.37
     122    -0.85     0.79     1.66     2.03
     123    -0.85     0.79     1.66     2.03
     124    -0.85     0.79     1.66     2.03
     125    -0.57    -0.28     1.22     1.38
     126    -0.44     0.17     1.63     1.70
     127    -0.44     0.17     1.63     1.70
     128    -0.44     0.17     1.63     1.70
     129    -0.15     0.32     1.29     1.33
     130    -0.90     0.53     0.82     1.33
     131    -0.90     0.53     0.82     1.33
     132    -1.74     0.73     0.52     1.96
     133    -1.71     1.11     1.00     2.27
     134    -1.17     0.50     0.11     1.28
