#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
       1    -0.03    -0.08    -0.07     0.11
       2     0.00    -0.12    -0.16     0.20
       3     0.14    -0.00    -0.29     0.32
       4     0.24     0.11    -0.33     0.42
       5     0.42     0.05    -0.34     0.55
       6     0.29     0.05    -0.17     0.34
       7     0.34     0.23    -0.04     0.42
       8     0.22     0.12     0.04     0.25
       9     0.35     0.02    -0.06     0.35
      10     0.51    -0.12     0.03     0.52
      11     0.65    -0.13    -0.16     0.68
      12     0.72    -0.25     0.01     0.77
      13     0.78    -0.33    -0.05     0.85
      14     0.77    -0.19    -0.08     0.79
      15     0.58    -0.29     0.06     0.65
      16     0.66    -0.12    -0.07     0.67
      17     0.75    -0.03    -0.19     0.77
      18     0.84    -0.14    -0.10     0.85
      19     0.84    -0.14    -0.10     0.85
      20     0.85    -0.21    -0.26     0.92
      21     0.88    -0.33    -0.37     1.01
      22     0.83    -0.48    -0.41     1.04
      23     0.68    -0.57    -0.35     0.95
      24     0.68    -0.57    -0.35     0.95
      25     0.68    -0.57    -0.35     0.95
      26     0.53    -0.51    -0.24     0.77
      27     0.41    -0.56    -0.15     0.72
      28     0.41    -0.56    -0.15     0.72
      29     0.55    -0.63    -0.14     0.85
      30     0.57    -0.65    -0.04     0.86
      31     0.57    -0.73    -0.18     0.95
      32     0.63    -0.73    -0.31     1.02
      33     0.52    -0.61    -0.12     0.81
      34     0.71    -0.46    -0.23     0.88
      35     0.51    -0.66    -0.33     0.89
      36     0.43    -0.83    -0.39     1.01
      37     0.27    -0.89    -0.44     1.03
      38     0.07    -0.74    -0.44     0.87
      39    -0.04    -0.70    -0.38     0.79
      40     0.08    -0.81    -0.38     0.90
      41     0.10    -0.81    -0.18     0.84
      42     0.13    -0.70    -0.26     0.75
      43     0.25    -0.61    -0.45     0.80
      44     0.35    -0.64    -0.34     0.81
      45     0.25    -0.62    -0.52     0.85
      46     0.15    -0.55    -0.38     0.69
      47     0.17    -0.71    -0.30     0.79
      48     0.14    -0.88    -0.14     0.90
      49     0.16    -1.08     0.02     1.09
      50     0.16    -1.08     0.02     1.09
      51     0.12    -1.01     0.10     1.02
      52     0.06    -1.18     0.07     1.19
      53    -0.09    -1.10    -0.05     1.10
      54    -0.03    -0.93    -0.02     0.93
      55    -0.08    -0.88     0.06     0.88
