#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
       1    49.83    -0.50    -0.40    49.84
       2    50.01    -0.75    -0.97    50.03
       3    50.01    -0.75    -0.97    50.03
       4    50.64    -0.06    -1.18    50.65
       5    50.64    -0.06    -1.18    50.65
       6    49.85    -0.02    -0.13    49.85
       7    50.17     1.08     0.64    50.18
       8    49.42     0.39     1.11    49.44
       9    50.18    -0.22     0.55    50.19
      10    51.13    -1.02     1.07    51.16
      11    51.13    -1.02     1.07    51.16
      12    51.56    -1.75     2.06    51.63
      13    51.91    -2.21     1.71    51.98
      14    51.81    -1.39     1.53    51.85
      15    50.67    -1.98     2.34    50.76
      16    50.67    -1.98     2.34    50.76
      17    50.67    -1.98     2.34    50.76
      18    51.20    -2.63     2.93    51.35
      19    51.20    -2.63     2.93    51.35
      20    51.31    -3.06     1.94    51.44
      21    51.48    -3.79     1.30    51.64
      22    51.17    -4.64     1.03    51.39
      23    50.25    -5.22     1.40    50.54
      24    50.25    -5.22     1.40    50.54
      25    50.25    -5.22     1.40    50.54
      26    49.35    -4.85     2.09    49.63
      27    48.67    -5.17     2.62    49.02
      28    48.67    -5.17     2.62    49.02
      29    48.67    -5.17     2.62    49.02
      30    48.76    -5.33     3.23    49.16
      31    48.80    -5.82     2.39    49.20
      32    48.80    -5.82     2.39    49.20
      33    48.10    -5.08     3.57    48.50
      34    48.10    -5.08     3.57    48.50
      35    46.92    -6.27     3.01    47.43
      36    46.41    -7.31     2.61    47.05
      37    45.45    -7.69     2.36    46.16
      38    44.27    -6.80     2.34    44.86
      39    43.59    -6.51     2.68    44.15
      40    43.59    -6.51     2.68    44.15
      41    43.70    -6.52     3.88    44.35
      42    43.85    -5.83     3.43    44.37
      43    43.85    -5.83     3.43    44.37
      44    43.85    -5.83     3.43    44.37
      45    43.27    -5.71     2.34    43.70
      46    42.66    -5.29     3.16    43.10
      47    42.66    -5.29     3.16    43.10
      48    42.48    -6.31     4.15    43.14
      49    42.61    -7.48     5.11    43.56
      50    41.87    -8.32     3.92    42.87
      51    41.61    -7.91     4.40    42.59
      52    41.27    -8.97     4.19    42.44
      53    40.36    -8.43     3.53    41.38
      54    40.36    -8.43     3.53    41.38
      55    40.08    -8.10     3.95    41.08
      56    40.04    -7.13     3.42    40.81
      57    40.04    -7.13     3.42    40.81
      58    41.04    -7.21     4.54    41.92
      59    40.55    -7.07     3.38    41.30
      60    40.30    -6.47     2.35    40.88
      61    41.30    -6.26     2.02    41.82
      62    41.30    -6.26     2.02    41.82
      63    40.91    -6.63     3.10    41.56
      64    39.76    -7.65     3.49    40.64
      65    39.14    -6.63     2.70    39.78
      66    38.43    -7.40     2.63    39.22
      67    37.55    -6.42     1.86    38.14
      68    36.77    -7.52     1.69    37.57
      69    36.77    -7.52     1.69    37.57
      70    36.06    -7.07     1.58    36.78
      71    35.48    -7.03     2.48    36.25
      72    36.34    -6.72     1.60    36.99
      73    37.43    -7.11     1.82    38.15
      74    37.43    -7.11     1.82    38.15
      75    37.27    -7.15     1.88    38.00
      76    37.27    -7.15     1.88    38.00
      77    37.27    -7.15     1.88    38.00
      78    36.09    -6.69     2.50    36.79
      79    36.09    -6.69     2.50    36.79
      80    35.09    -5.56     3.31    35.68
      81    34.70    -5.39     2.79    35.22
      82    34.70    -5.39     2.79    35.22
      83    33.95    -4.24     2.72    34.32
      84    33.20    -4.80     1.80    33.59
      85    33.20    -4.80     1.80    33.59
      86    32.10    -4.24     2.88    32.50
      87    31.15    -4.83     3.30    31.70
      88    30.80    -5.39     3.19    31.43
      89    30.45    -6.57     3.76    31.37
      90    30.32    -7.09     4.93    31.53
      91    29.17    -8.24     5.11    30.74
      92    29.29    -8.17     4.29    30.71
      93    28.18    -8.61     4.33    29.78
      94    28.18    -8.61     4.33    29.78
      95    28.18    -8.61     4.33    29.78
      96    28.18    -8.61     4.33    29.78
      97    28.18    -8.61     4.33    29.78
      98    27.98    -8.34     5.31    29.68
      99    26.84    -8.67     6.20    28.88
     100    26.36    -7.94     5.38    28.05
     101    25.36    -9.12     6.34    27.68
     102    25.36    -9.12     6.34    27.68
     103    25.36    -9.12     6.34    27.68
     104    25.77    -8.71     7.00    28.09
     105    25.77    -8.71     7.00    28.09
     106    25.37    -7.78     7.01    27.45
     107    24.73    -8.07     6.75    26.87
     108    24.39    -9.11     6.88    26.93
     109    23.66    -9.49     7.44    26.56
     110    23.66    -9.49     7.44    26.56
     111    23.66    -9.49     7.44    26.56
     112    23.24    -8.45     6.57    25.59
     113    22.60    -8.49     7.06    25.15
     114    22.60    -8.49     7.06    25.15
     115    22.60    -8.49     7.06    25.15
     116    22.60    -8.49     7.06    25.15
     117    22.60    -8.49     7.06    25.15
     118    21.43    -7.64     7.44    23.94
     119    21.70    -7.34     7.78    24.19
     120    20.99    -7.07     8.93    23.88
     121    20.60    -6.96     9.19    23.60
     122    19.66    -6.99     9.75    23.03
     123    19.66    -6.99     9.75    23.03
     124    19.33    -6.74    10.88    23.18
     125    19.33    -6.74    10.88    23.18
     126    19.45    -6.29    11.28    23.35
     127    19.45    -6.29    11.28    23.35
     128    19.45    -6.29    11.28    23.35
     129    19.75    -6.14    10.94    23.40
     130    18.99    -5.93    10.47    22.48
     131    18.99    -5.93    10.47    22.48
     132    18.15    -5.73    10.18    21.58
     133    18.18    -5.35    10.66    21.74
     134    18.72    -5.96     9.76    21.94
     135    18.88    -5.85     9.21    21.80
     136    19.69    -6.57     8.03    22.26
     137    20.04    -5.91     7.48    22.19
     138    20.04    -5.91     7.48    22.19
     139    20.04    -5.91     7.48    22.19
     140    18.92    -7.03     6.59    21.24
     141    18.92    -7.03     6.59    21.24
     142    18.14    -6.73     7.31    20.68
     143    18.50    -6.11     8.01    21.06
     144    19.04    -6.33     6.83    21.19
     145    19.04    -6.33     6.83    21.19
     146    19.42    -5.20     7.20    21.35
     147    19.69    -4.64     6.22    21.17
     148    19.13    -3.74     6.59    20.58
     149    18.60    -2.83     6.70    19.97
     150    19.06    -2.14     6.07    20.12
     151    19.26    -1.63     5.20    20.01
     152    18.77    -0.83     4.09    19.23
     153    18.69     0.37     3.97    19.11
     154    18.19     0.39     3.48    18.52
     155    18.19     0.39     3.48    18.52
     156    18.19     0.39     3.48    18.52
     157    18.19     0.39     3.48    18.52
     158    18.40     1.15     2.68    18.63
     159    18.40     1.15     2.68    18.63
     160    18.40     1.15     2.68    18.63
     161    18.40     1.15     2.68    18.63
     162    17.86     1.24     3.17    18.18
     163    17.14     0.62     2.17    17.29
     164    17.14     0.62     2.17    17.29
     165    16.76    -0.24     2.94    17.01
     166    16.76    -0.24     2.94    17.01
     167    15.89     0.55     2.67    16.12
     168    15.89     0.55     2.67    16.12
     169    15.89     0.55     2.67    16.12
     170    14.95     0.34     3.75    15.41
     171    13.77    -0.01     3.32    14.17
     172    12.71    -0.20     2.60    12.97
     173    12.67    -1.36     1.91    12.88
     174    12.67    -1.36     1.91    12.88
     175    12.67    -1.36     1.91    12.88
     176    12.94    -0.41     3.06    13.30
     177    12.94    -0.41     3.06    13.30
     178    12.94    -0.41     3.06    13.30
     179    12.41    -0.68     2.67    12.72
     180    11.41    -0.93     1.97    11.62
     181    10.27    -1.85     2.59    10.75
     182    10.27    -1.85     2.59    10.75
     183    10.27    -1.85     2.59    10.75
     184     9.84    -2.10     3.12    10.53
     185     9.51    -3.29     2.85    10.46
     186     8.76    -2.67     2.21     9.42
     187     8.32    -3.69     2.32     9.39
     188     7.71    -3.36     3.23     9.01
     189     6.70    -2.84     4.27     8.43
     190     5.65    -2.47     5.31     8.13
     191     5.65    -2.47     5.31     8.13
     192     5.17    -1.78     6.14     8.22
     193     5.17    -1.78     6.14     8.22
     194     5.08    -0.93     6.67     8.43
     195     4.84    -1.86     5.57     7.61
     196     3.69    -1.88     5.74     7.07
     197     4.02    -2.27     4.66     6.56
     198     3.27    -3.03     3.93     5.94
     199     3.10    -3.03     3.78     5.75
     200     3.29    -1.93     4.34     5.77
     201     3.36    -1.91     3.27     5.07
     202     3.36    -1.91     3.27     5.07
     203     2.31    -1.48     3.79     4.68
     204     2.86    -0.58     3.75     4.75
     205     2.32    -0.66     4.11     4.77
     206     2.32    -0.66     4.11     4.77
     207     3.35    -1.69     4.29     5.70
     208     4.22    -0.70     3.59     5.58
     209     4.45    -0.73     2.53     5.17
     210     3.65     0.29     3.42     5.01
     211     3.65     0.29     3.42     5.01
     212     4.10     0.31     2.67     4.90
     213     4.70    -0.13     2.26     5.22
     214     4.70    -0.13     2.26     5.22
     215     4.02     0.19     2.69     4.84
     216     3.38    -0.49     2.33     4.13
     217     2.83    -0.76     1.46     3.28
     218     2.83    -0.76     1.46     3.28
     219     2.74     0.28     2.18     3.51
     220     2.74     0.28     2.18     3.51
     221     2.76     0.46     1.15     3.02
     222     3.09    -0.01     1.21     3.32
     223     1.95    -0.34     0.49     2.04
     224     1.95    -0.34     0.49     2.04
     225     1.31     0.69    -0.63     1.61
     226     1.31     0.69    -0.63     1.61
     227     1.31     0.69    -0.63     1.61
     228     1.24     0.11    -1.68     2.09
     229     1.24     0.11    -1.68     2.09
     230     1.34     0.71    -1.41     2.06
     231     0.49     1.19    -0.45     1.37
     232     1.13     1.28    -0.62     1.82
     233     1.63     0.44     0.05     1.69
     234     1.63     0.44     0.05     1.69
     235     0.57     0.47     0.72     1.04
     236    -0.33     0.44     0.96     1.11
     237    -0.33     0.44     0.96     1.11
     238    -0.50     0.09     0.47     0.69
     239    -0.50     0.09     0.47     0.69
     240    -0.50     0.09     0.47     0.69
     241    -0.50     0.09     0.47     0.69
     242    -0.69     0.35     0.77     1.09
     243    -0.69     0.35     0.77     1.09
     244     0.29     0.83     0.91     1.26
     245     0.47     0.84     1.61     1.88
     246     0.47     0.84     1.61     1.88
     247    -0.10    -0.34     1.64     1.68
     248    -1.16     0.03     2.26     2.54
     249    -0.21    -0.97     1.84     2.09
     250    -0.21    -0.97     1.84     2.09
     251     0.06    -1.50     1.01     1.81
     252     1.20    -0.72     0.80     1.61
     253     0.26    -1.52    -0.08     1.55
     254    -0.25    -0.45     0.86     1.01
     255     0.53    -0.36    -0.16     0.66
     256     0.53    -0.36    -0.16     0.66
     257     0.53    -0.36    -0.16     0.66
     258    -0.26    -0.11     0.49     0.57
     259    -0.26    -0.11     0.49     0.57
     260    -0.26    -0.11     0.49     0.57
     261    -0.01    -0.35     0.44     0.56
     262     0.84     0.33     0.69     1.13
     263     1.31    -0.12     0.48     1.40
     264     1.31    -0.12     0.48     1.40
     265     0.25     0.90     0.76     1.20
     266     0.25     0.90     0.76     1.20
     267     0.12    -0.15     1.66     1.67
     268     1.09     0.41     1.43     1.85
     269     0.69     1.29     1.51     2.10
     270     0.53     2.00     1.80     2.75
     271    -0.25     0.81     1.50     1.72
     272     0.01    -0.11     0.79     0.80
     273    -0.73    -0.79     0.91     1.41
     274    -0.73    -0.79     0.91     1.41
     275     0.09    -0.77     0.58     0.96
     276     0.09    -0.77     0.58     0.96
     277     0.09    -0.77     0.58     0.96
     278     0.09    -0.77     0.58     0.96
