#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
       1    -0.17    49.50    -0.40    49.50
       2     0.01    49.25    -0.97    49.26
       3     0.01    49.25    -0.97    49.26
       4     0.64    49.94    -1.18    49.96
       5     1.73    49.55    -1.29    49.60
       6     0.94    49.58    -0.23    49.59
       7     0.94    49.58    -0.23    49.59
       8     0.19    48.89     0.24    48.90
       9     0.95    48.29    -0.33    48.30
      10     1.90    47.49     0.19    47.53
      11     2.79    47.40    -0.93    47.49
      12     3.22    46.67     0.07    46.78
      13     3.57    46.22    -0.28    46.35
      14     3.57    46.22    -0.28    46.35
      15     2.43    45.63     0.53    45.70
      16     2.43    45.63     0.53    45.70
      17     2.43    45.63     0.53    45.70
      18     2.96    44.98     1.11    45.09
      19     3.96    44.61     0.88    44.79
      20     4.07    44.18    -0.11    44.37
      21     4.24    43.45    -0.75    43.66
      22     3.93    42.60    -1.02    42.80
      23     3.00    42.03    -0.65    42.14
      24     4.14    41.37     0.22    41.58
      25     4.78    41.19     0.15    41.47
      26     3.89    41.56     0.84    41.75
      27     3.21    41.24     1.37    41.38
      28     3.68    40.62     1.75    40.83
      29     4.50    40.26     1.78    40.55
      30     4.59    40.10     2.38    40.43
      31     4.63    39.61     1.54    39.91
      32     4.99    39.62     0.75    39.94
      33     4.99    39.62     0.75    39.94
      34     4.99    39.62     0.75    39.94
      35     3.81    38.43     0.19    38.62
      36     3.30    37.39    -0.21    37.54
      37     2.33    37.01    -0.46    37.09
      38     1.16    37.90    -0.48    37.92
      39     0.47    38.19    -0.14    38.20
      40     1.24    37.51    -0.15    37.53
      41     1.35    37.50     1.05    37.53
      42     1.35    37.50     1.05    37.53
      43     1.35    37.50     1.05    37.53
      44     1.89    37.27     1.71    37.36
      45     1.89    37.27     1.71    37.36
      46     1.29    37.70     2.53    37.81
      47     1.42    36.75     3.01    36.90
      48     1.24    35.73     4.00    35.97
      49     1.37    34.56     4.95    34.94
      50     0.63    33.72     3.77    33.93
      51     0.63    33.72     3.77    33.93
      52     0.29    32.66     3.57    32.85
      53     0.29    32.66     3.57    32.85
      54     0.29    32.66     3.57    32.85
      55     0.29    32.66     3.57    32.85
      56     0.29    32.66     3.57    32.85
      57     0.29    32.66     3.57    32.85
      58     1.29    32.59     4.69    32.95
      59     0.80    32.73     3.53    32.93
      60     0.80    32.73     3.53    32.93
      61     1.80    32.94     3.20    33.14
      62     2.15    31.90     2.99    32.12
      63     1.76    31.53     4.07    31.84
      64     0.61    30.52     4.47    30.85
      65     0.61    30.52     4.47    30.85
      66    -0.09    29.74     4.40    30.07
      67    -0.09    29.74     4.40    30.07
      68    -0.87    28.64     4.23    28.97
      69    -0.31    28.49     3.40    28.70
      70    -0.31    28.49     3.40    28.70
      71    -0.89    28.53     4.30    28.87
      72    -0.03    28.84     3.42    29.04
      73     1.06    28.45     3.64    28.70
      74     1.41    27.84     4.29    28.20
      75     1.25    27.79     4.35    28.16
      76     1.63    27.51     4.05    27.86
      77     1.63    27.51     4.05    27.86
      78     0.45    27.98     4.67    28.37
      79     1.14    27.55     4.54    27.94
      80     1.14    27.55     4.54    27.94
      81     0.75    27.72     4.02    28.02
      82     1.21    26.90     2.93    27.08
