#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
       1    -0.17    -0.50    49.60    49.60
       2     0.01    -0.75    49.03    49.04
       3     0.82    -0.02    48.26    48.26
       4     1.45     0.67    48.04    48.07
       5     2.54     0.28    47.94    48.00
       6     2.54     0.28    47.94    48.00
       7     2.54     0.28    47.94    48.00
       8     1.79    -0.41    48.41    48.44
       9     2.55    -1.02    47.84    47.92
      10     3.50    -1.82    48.36    48.52
      11     4.39    -1.91    47.24    47.48
      12     4.39    -1.91    47.24    47.48
      13     4.74    -2.36    46.89    47.19
      14     4.65    -1.55    46.71    46.97
      15     3.51    -2.14    47.53    47.70
      16     3.98    -1.12    46.77    46.96
      17     4.53    -0.60    46.02    46.25
      18     5.06    -1.25    46.61    46.90
      19     6.06    -1.62    46.38    46.80
      20     6.18    -2.05    45.39    45.85
      21     6.35    -2.78    44.75    45.28
      22     6.04    -3.63    44.48    45.03
      23     6.04    -3.63    44.48    45.03
      24     6.04    -3.63    44.48    45.03
      25     6.04    -3.63    44.48    45.03
      26     5.14    -3.26    45.17    45.58
      27     4.46    -3.58    45.70    46.06
      28     4.46    -3.58    45.70    46.06
      29     5.28    -3.95    45.73    46.20
      30     5.28    -3.95    45.73    46.20
      31     5.32    -4.44    44.89    45.42
      32     5.68    -4.42    44.09    44.68
      33     5.68    -4.42    44.09    44.68
      34     6.84    -3.52    43.39    44.07
      35     5.66    -4.71    42.84    43.46
      36     5.15    -5.75    42.43    43.13
      37     4.19    -6.13    42.18    42.83
      38     3.01    -5.24    42.16    42.60
      39     2.32    -4.94    42.51    42.86
      40     3.09    -5.63    42.50    42.98
      41     3.09    -5.63    42.50    42.98
      42     3.24    -4.94    42.06    42.47
      43     4.00    -4.40    40.91    41.34
      44     4.00    -4.40    40.91    41.34
      45     3.41    -4.28    39.82    40.19
      46     2.81    -3.85    40.64    40.92
      47     2.81    -3.85    40.64    40.92
      48     2.81    -3.85    40.64    40.92
      49     2.81    -3.85    40.64    40.92
      50     2.07    -4.69    39.46    39.79
      51     2.07    -4.69    39.46    39.79
      52     1.72    -5.75    39.25    39.71
      53     0.81    -5.21    38.58    38.94
      54     1.18    -4.23    38.77    39.01
      55     1.18    -4.23    38.77    39.01
      56     1.13    -3.27    38.23    38.39
      57     1.13    -3.27    38.23    38.39
      58     2.14    -3.34    39.35    39.55
      59     1.65    -3.20    38.20    38.37
      60     1.39    -2.60    37.16    37.28
      61     2.39    -2.39    36.83    36.98
      62     2.74    -3.43    36.62    36.88
      63     2.74    -3.43    36.62    36.88
      64     2.74    -3.43    36.62    36.88
      65     2.11    -2.40    35.83    35.97
      66     1.40    -3.18    35.77    35.93
      67     0.52    -2.19    34.99    35.06
      68    -0.26    -3.29    34.82    34.98
      69     0.30    -3.44    33.99    34.16
      70    -0.42    -2.99    33.88    34.01
      71    -0.42    -2.99    33.88    34.01
      72     0.45    -2.69    33.00    33.11
      73     1.54    -3.07    33.22    33.40
      74     1.54    -3.07    33.22    33.40
      75     1.38    -3.12    33.28    33.46
      76     1.77    -3.40    32.99    33.21
      77     1.77    -3.40    32.99    33.21
      78     0.58    -2.93    33.60    33.74
      79     1.27    -3.37    33.47    33.67
      80     1.27    -3.37    33.47    33.67
      81     0.88    -3.20    32.96    33.12
      82     1.35    -4.02    31.86    32.14
      83     0.60    -2.87    31.79    31.93
      84    -0.15    -3.43    30.87    31.06
      85     0.72    -2.67    30.17    30.30
      86     0.72    -2.67    30.17    30.30
      87     0.72    -2.67    30.17    30.30
      88     0.37    -3.24    30.06    30.23
      89     0.37    -3.24    30.06    30.23
      90     0.37    -3.24    30.06    30.23
      91     0.37    -3.24    30.06    30.23
      92     0.48    -3.17    29.24    29.41
      93    -0.63    -3.61    29.28    29.50
      94    -0.63    -3.61    29.28    29.50
      95    -0.63    -3.61    29.28    29.50
      96    -0.63    -3.61    29.28    29.50
      97     0.50    -2.79    29.18    29.31
      98     0.30    -2.52    30.16    30.26
      99     0.30    -2.52    30.16    30.26
     100    -0.18    -1.80    29.34    29.40
     101    -0.18    -1.80    29.34    29.40
     102    -0.18    -1.80    29.34    29.40
     103     0.70    -2.31    29.25    29.35
     104     1.11    -1.90    29.90    29.99
     105     2.25    -2.37    29.78    29.96
     106     1.85    -1.43    29.79    29.89
     107     1.21    -1.72    29.53    29.61
     108     1.21    -1.72    29.53    29.61
     109     0.49    -2.11    30.09    30.17
     110     0.49    -2.11    30.09    30.17
     111     1.57    -1.32    29.95    30.02
     112     1.14    -0.28    29.08    29.10
     113     0.50    -0.32    29.56    29.57
     114     1.69    -1.22    28.69    28.76
     115     1.69    -1.22    28.69    28.76
     116     2.58    -1.56    27.61    27.78
     117     2.58    -1.56    27.61    27.78
     118     2.58    -1.56    27.61    27.78
     119     2.84    -1.25    27.96    28.13
     120     2.84    -1.25    27.96    28.13
     121     2.84    -1.25    27.96    28.13
     122     1.91    -1.28    28.52    28.61
     123     1.91    -1.28    28.52    28.61
     124     1.91    -1.28    28.52    28.61
     125     2.18    -2.36    28.08    28.26
     126     2.18    -2.36    28.08    28.26
     127     2.18    -2.36    28.08    28.26
     128     2.18    -2.36    28.08    28.26
     129     2.48    -2.21    27.74    27.94
     130     1.72    -2.00    27.27    27.40
     131     1.72    -2.00    27.27    27.40
     132     0.88    -1.80    26.98    27.05
     133     0.91    -1.42    27.46    27.51
     134     1.45    -2.03    26.56    26.68
     135     1.61    -1.92    26.01    26.13
     136     2.42    -2.64    24.82    25.08
     137     2.77    -1.98    24.28    24.52
     138     2.77    -1.98    24.28    24.52
     139     3.67    -0.98    24.40    24.69
     140     2.56    -2.11    23.50    23.74
     141     2.56    -2.11    23.50    23.74
     142     2.56    -2.11    23.50    23.74
     143     2.56    -2.11    23.50    23.74
     144     3.10    -2.33    22.33    22.66
     145     4.24    -2.53    21.46    22.02
     146     4.62    -1.40    21.83    22.35
     147     4.90    -0.84    20.85    21.43
     148     4.33     0.06    21.22    21.66
     149     3.80     0.97    21.32    21.68
     150     4.27     1.66    20.70    21.20
     151     4.46     2.17    19.83    20.44
     152     3.97     2.98    18.72    19.36
     153     3.90     4.17    18.59    19.45
     154     3.39     4.19    18.10    18.89
     155     4.38     5.14    17.16    18.44
     156     4.38     5.14    17.16    18.44
     157     4.38     5.14    17.16    18.44
     158     4.60     5.90    16.36    17.99
     159     4.60     5.90    16.36    17.99
     160     4.60     5.90    16.36    17.99
     161     5.53     5.04    16.76    18.35
     162     4.98     5.13    17.25    18.67
     163     4.27     4.51    16.25    17.39
