#BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
      1       8.5496040e-01       8.5496040e-01       0.0000000e+00
      2       8.6211640e-01       8.5853840e-01       2.5300281e-03
      3       8.5825840e-01       8.5844507e-01       1.6884060e-03
      4       8.6716280e-01       8.6062450e-01       2.2728780e-03
      5       8.7384520e-01       8.6326864e-01       2.9831870e-03
      6       9.0733400e-01       8.7061287e-01       7.1503984e-03
      7       8.3389600e-01       8.6536760e-01       7.8195903e-03
      8       9.2006120e-01       8.7220430e-01       9.3655117e-03
      9       9.1113240e-01       8.7652964e-01       9.2700495e-03
     10       9.4057000e-01       8.8293368e-01       1.0320702e-02
     11       9.0317720e-01       8.8477400e-01       9.5451235e-03
     12       9.2307360e-01       8.8796563e-01       9.2679467e-03
     13       9.2512880e-01       8.9082434e-01       8.9851023e-03
     14       9.0809120e-01       8.9205769e-01       8.4275324e-03
     15       8.8834240e-01       8.9181000e-01       7.8693358e-03
     16       8.7772160e-01       8.9092947e-01       7.4266013e-03
     17       8.8808360e-01       8.9076207e-01       6.9916289e-03
     18       9.2272000e-01       8.9253751e-01       6.8249091e-03
     19       8.1964480e-01       8.8870105e-01       7.4665307e-03
     20       8.9216720e-01       8.8887436e-01       7.0952152e-03
