#BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
      1       3.0180155e-01       3.0180155e-01       0.0000000e+00
      2       2.5683585e-01       2.7931870e-01       1.5897777e-02
      3       2.6060552e-01       2.7308097e-01       1.1758745e-02
      4       2.5040925e-01       2.6741304e-01       1.0093060e-02
      5       2.9013271e-01       2.7195698e-01       9.0396119e-03
      6       2.6100195e-01       2.7013114e-01       7.7151997e-03
      7       2.5050856e-01       2.6732792e-01       7.1040576e-03
      8       2.3809207e-01       2.6367343e-01       7.0940193e-03
      9       2.6397489e-01       2.6370693e-01       6.3058741e-03
     10       2.1209397e-01       2.5854563e-01       7.4955958e-03
     11       2.5199909e-01       2.5795049e-01       6.8377639e-03
     12       2.3611984e-01       2.5613127e-01       6.5054569e-03
     13       2.5428933e-01       2.5598958e-01       6.0065799e-03
     14       2.5260883e-01       2.5574810e-01       5.5823905e-03
     15       2.1221898e-01       2.5284616e-01       5.9166167e-03
     16       2.6896194e-01       2.5385340e-01       5.6319109e-03
     17       2.5878138e-01       2.5414328e-01       5.3080770e-03
     18       2.3886619e-01       2.5329455e-01       5.0805838e-03
     19       3.0111961e-01       2.5581166e-01       5.4008439e-03
     20       2.7707987e-01       2.5687507e-01       5.2344462e-03
