#BLOCK:           ACTUAL_X:              X_AVE:              ERROR:
      1       8.8815179e+01       8.8815179e+01       0.0000000e+00
      2       9.0964805e+01       8.9889992e+01       7.6000742e-01
      3       9.0435414e+01       9.0071799e+01       5.2796978e-01
      4       9.1224280e+01       9.0359920e+01       4.6803628e-01
      5       8.8910824e+01       9.0070100e+01       4.5540443e-01
      6       8.9421176e+01       8.9961946e+01       3.9213621e-01
      7       9.1664438e+01       9.0205160e+01       4.0456980e-01
      8       9.1534994e+01       9.0371389e+01       3.8664343e-01
      9       8.9926837e+01       9.0321994e+01       3.4682384e-01
     10       9.2509915e+01       9.0540786e+01       3.7485367e-01
     11       9.0814005e+01       9.0565624e+01       3.4159797e-01
     12       9.1594714e+01       9.0651382e+01       3.2371715e-01
     13       9.0622762e+01       9.0649180e+01       2.9882332e-01
     14       9.0490250e+01       9.0637828e+01       2.7769435e-01
     15       9.2889581e+01       9.0787945e+01       2.9699785e-01
     16       8.9872240e+01       9.0730713e+01       2.8389620e-01
     17       9.0440267e+01       9.0713628e+01       2.6771003e-01
     18       9.1714653e+01       9.0769241e+01       2.5854903e-01
     19       8.8891754e+01       9.0670426e+01       2.6314767e-01
     20       8.9721034e+01       9.0622956e+01       2.5423579e-01
