TEMPERATURE:       MAGNETIZATION              ERROR:
           2           0.0272421         0.000343387
         1.9           0.0296851         0.000477738
         1.8            0.033093         0.000670874
         1.7           0.0380513         0.000605051
         1.6           0.0423433         0.000850868
         1.5           0.0493452         0.000826016
         1.4           0.0593555         0.000681971
         1.3           0.0712643          0.00120772
         1.2           0.0862487          0.00128102
         1.1            0.109665          0.00138798
           1            0.146499          0.00171687
         0.9            0.197986          0.00239792
         0.8            0.291842          0.00451771
         0.7            0.439489          0.00573979
         0.6            0.680492          0.00502049
         0.5            0.888874          0.00709522
