TEMPERATURE:       SPECIFIC_HEAT              ERROR:
           2            0.197624         0.000193011
         1.9            0.213495         0.000235617
         1.8            0.231308         0.000286128
         1.7            0.251572         0.000290103
         1.6            0.272694         0.000414345
         1.5            0.296333         0.000430051
         1.4             0.32131         0.000386311
         1.3             0.35009          0.00041165
         1.2            0.379239         0.000422265
         1.1            0.410667         0.000862071
           1            0.440818         0.000801965
         0.9            0.468958          0.00108992
         0.8            0.496719          0.00119748
         0.7             0.52443          0.00197522
         0.6            0.484229          0.00348669
         0.5            0.256875          0.00523445
