TEMPERATURE:      SUSCEPTIBILITY              ERROR:
           2             1.37796          0.00276721
         1.9             1.53565          0.00246535
         1.8              1.7119          0.00331239
         1.7              1.9459          0.00453105
         1.6             2.22764          0.00512466
         1.5             2.59885          0.00670105
         1.4             3.08751           0.0112835
         1.3             3.72937           0.0116951
         1.2             4.67155           0.0161584
         1.1             6.07028           0.0252316
           1             8.21705           0.0343033
         0.9             11.7401           0.0617515
         0.8             18.5731            0.154486
         0.7             31.7453            0.232994
         0.6             57.2044            0.339859
         0.5              90.623            0.254236
