TEMPERATURE:        TOTAL_ENERGY              ERROR:
           2           -0.462868          0.00012109
         1.9             -0.4834          0.00013047
         1.8             -0.5056         0.000118657
         1.7           -0.529817         0.000152527
         1.6           -0.555823         0.000202098
         1.5           -0.584275         0.000143607
         1.4           -0.615405         0.000197251
         1.3           -0.648827         0.000126815
         1.2           -0.685335         0.000185238
         1.1           -0.725049         0.000198187
           1           -0.767483         0.000188213
         0.9           -0.812579         0.000218686
         0.8           -0.861255         0.000446153
         0.7           -0.912222         0.000478771
         0.6           -0.965448         0.000521724
         0.5            -1.00383         0.000353155
