TEMPERATURE:       MAGNETIZATION              ERROR:
           2           0.0273137         0.000317495
         1.9           0.0302693         0.000550467
         1.8             0.03396         0.000360631
         1.7           0.0388964         0.000452462
         1.6           0.0442294         0.000523222
         1.5           0.0513825         0.000500124
         1.4            0.058775         0.000553968
         1.3           0.0711425         0.000826317
         1.2           0.0876962         0.000943143
         1.1            0.110866          0.00140503
           1            0.146879          0.00170512
         0.9            0.200028          0.00193148
         0.8             0.29098          0.00359664
         0.7            0.446495          0.00408815
         0.6            0.673962          0.00603264
         0.5            0.888874          0.00709522
