TEMPERATURE:       SPECIFIC_HEAT              ERROR:
           2            0.196541         0.000250877
         1.9            0.212176         0.000230986
         1.8            0.229957         0.000244251
         1.7            0.249402         0.000334904
         1.6            0.270274         0.000279474
         1.5            0.293914         0.000350458
         1.4             0.31734         0.000369718
         1.3            0.344307         0.000399321
         1.2            0.370764         0.000501728
         1.1            0.396932         0.000625141
           1            0.419242         0.000706773
         0.9             0.43545         0.000988865
         0.8            0.437879          0.00106095
         0.7              0.4289          0.00188307
         0.6            0.422637          0.00240209
         0.5             0.32006          0.00439524
