TEMPERATURE:       SPECIFIC_HEAT              ERROR:
           2            0.196583         0.000115054
         1.9            0.212481         0.000179886
         1.8            0.230001         0.000317702
         1.7            0.249191         0.000253945
         1.6            0.270895         0.000340685
         1.5            0.293473         0.000396071
         1.4            0.317824         0.000382626
         1.3            0.345261         0.000447097
         1.2            0.370671         0.000549523
         1.1             0.39802         0.000616363
           1            0.421351         0.000623755
         0.9              0.4365         0.000922929
         0.8            0.438454          0.00104105
         0.7            0.431214         0.000967037
         0.6            0.422767          0.00145919
         0.5            0.325113          0.00231869
