TEMPERATURE:      SUSCEPTIBILITY              ERROR:
           2             1.36351           0.0031125
         1.9             1.50462          0.00324128
         1.8             1.68505          0.00399332
         1.7             1.90414          0.00391793
         1.6             2.18014          0.00536689
         1.5             2.53225          0.00616322
         1.4             2.96874          0.00737762
         1.3             3.58679           0.0129673
         1.2             4.40957           0.0126593
         1.1             5.58891           0.0144308
           1              7.4131           0.0283507
         0.9              10.271           0.0459379
         0.8             15.1105           0.0740753
         0.7             24.2691            0.216793
         0.6             44.7445            0.337686
         0.5             80.2195            0.471283
