TEMPERATURE:      SUSCEPTIBILITY              ERROR:
           2             1.35859          0.00193521
         1.9             1.50936          0.00256576
         1.8             1.69329          0.00270568
         1.7             1.90492           0.0032546
         1.6             2.17826          0.00406861
         1.5             2.53199          0.00464052
         1.4              2.9753           0.0065887
         1.3             3.57473          0.00835992
         1.2             4.41928           0.0125914
         1.1             5.60777           0.0113796
           1             7.40565            0.017997
         0.9             10.2864           0.0406069
         0.8             15.1544            0.100378
         0.7             24.7384            0.106811
         0.6             44.5676            0.229873
         0.5             79.6102            0.244521
