TEMPERATURE:        TOTAL_ENERGY              ERROR:
           2           -0.462038          0.00011753
         1.9           -0.482387         0.000116261
         1.8           -0.504654         7.12296e-05
         1.7           -0.528561         0.000141958
         1.6           -0.554443         0.000146378
         1.5           -0.582633         0.000148199
         1.4           -0.613039         0.000178488
         1.3           -0.646557         0.000134364
         1.2           -0.682106         0.000167733
         1.1           -0.720606         0.000209856
           1           -0.761707         0.000136751
         0.9           -0.804792         0.000189946
         0.8           -0.848371         0.000206676
         0.7           -0.891848         0.000314142
         0.6           -0.935856         0.000423829
         0.5           -0.975239         0.000477109
