TEMPERATURE:        TOTAL_ENERGY              ERROR:
           2           -0.462212         0.000106559
         1.9           -0.482635         9.28928e-05
         1.8           -0.504791         0.000103841
         1.7           -0.528545         0.000147448
         1.6           -0.554635         0.000123277
         1.5            -0.58272         0.000117358
         1.4           -0.613195         0.000158067
         1.3           -0.646365         0.000153358
         1.2           -0.682161         0.000150238
         1.1           -0.720551         0.000117216
           1           -0.761681         0.000113643
         0.9           -0.804678         0.000186809
         0.8           -0.848316         0.000307232
         0.7           -0.892347         0.000222974
         0.6           -0.935567         0.000299103
         0.5           -0.974719         0.000258233
