#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1      -7.8777072e+03      -7.8777072e+03       0.0000000e+00
      2      -7.9074726e+03      -7.8925899e+03       1.0523649e+01
      3      -7.8661283e+03      -7.8837694e+03       1.0054296e+01
      4      -7.8730730e+03      -7.8810953e+03       7.8883196e+00
      5      -7.8332998e+03      -7.8715362e+03       1.0626639e+01
      6      -7.8525348e+03      -7.8683693e+03       9.3154806e+00
      7      -7.8438315e+03      -7.8648639e+03       8.6190387e+00
      8      -7.8680056e+03      -7.8652566e+03       7.5506000e+00
      9      -7.8919373e+03      -7.8682211e+03       7.2703578e+00
     10      -7.9032189e+03      -7.8717209e+03       7.3374821e+00
     11      -7.9186861e+03      -7.8759905e+03       7.8145202e+00
     12      -7.8423292e+03      -7.8731854e+03       7.6502241e+00
     13      -7.9139939e+03      -7.8763245e+03       7.6788227e+00
     14      -7.8974355e+03      -7.8778324e+03       7.2768891e+00
     15      -7.8312724e+03      -7.8747284e+03       7.4243198e+00
     16      -7.8600042e+03      -7.8738081e+03       7.0171022e+00
