DIM_BLOCK:         ERROR:       REL_ERR:
        10   1.465375e-04   3.539624e-04
        16   1.580191e-04   3.816966e-04
        20   1.632978e-04   3.944471e-04
        25   1.667268e-04   4.027300e-04
        40   1.720819e-04   4.156653e-04
        50   1.723301e-04   4.162647e-04
        80   1.757962e-04   4.246373e-04
       100   1.765747e-04   4.265176e-04
       125   1.780369e-04   4.300497e-04
       200   1.780700e-04   4.301296e-04
       250   1.752631e-04   4.233495e-04
       400   1.761673e-04   4.255337e-04
       500   1.729903e-04   4.178596e-04
       625   1.758219e-04   4.246992e-04
       800   1.735834e-04   4.192921e-04
      1000   1.778571e-04   4.296153e-04
      1250   1.775383e-04   4.288452e-04
      1600   1.764707e-04   4.262605e-04
      2000   1.689042e-04   4.079895e-04
      2500   1.768618e-04   4.272112e-04
      3125   1.691333e-04   4.085428e-04
      4000   1.671899e-04   4.038486e-04
      5000   1.828440e-04   4.416613e-04
