DIM_BLOCK:         ERROR:       REL_ERR:
        10   3.429149e-04   6.275061e-05
        16   3.966438e-04   7.258256e-05
        20   4.227265e-04   7.735549e-05
        25   4.507166e-04   8.247743e-05
        40   5.099432e-04   9.331542e-05
        50   5.368655e-04   9.824199e-05
        80   5.943165e-04   1.087550e-04
       100   6.249345e-04   1.143579e-04
       125   6.495029e-04   1.188537e-04
       200   6.920073e-04   1.266317e-04
       250   7.147381e-04   1.307912e-04
       400   7.457089e-04   1.364586e-04
       500   7.545615e-04   1.380786e-04
       625   7.596627e-04   1.390120e-04
       800   7.552854e-04   1.382110e-04
      1000   7.406729e-04   1.355371e-04
      1250   7.756131e-04   1.419308e-04
      1600   7.364389e-04   1.347622e-04
      2000   7.004763e-04   1.281814e-04
      2500   7.227600e-04   1.322592e-04
      3125   7.414197e-04   1.356737e-04
      4000   6.729948e-04   1.231525e-04
      5000   7.231000e-04   1.323214e-04
