DIM_BLOCK:         ERROR:       REL_ERR:
        10   3.196866e-04   4.236053e-05
        16   3.685007e-04   4.882872e-05
        20   3.911784e-04   5.183365e-05
        25   4.118140e-04   5.456801e-05
        40   4.514639e-04   5.982187e-05
        50   4.675098e-04   6.194806e-05
        80   4.967702e-04   6.582525e-05
       100   5.074534e-04   6.724084e-05
       125   5.154528e-04   6.830081e-05
       200   5.325112e-04   7.056116e-05
       250   5.332751e-04   7.066239e-05
       400   5.409346e-04   7.167732e-05
       500   5.434983e-04   7.201702e-05
       625   5.458108e-04   7.232344e-05
       800   5.601411e-04   7.422230e-05
      1000   5.410072e-04   7.168693e-05
      1250   5.463722e-04   7.239784e-05
      1600   5.534210e-04   7.333224e-05
      2000   5.235038e-04   6.936762e-05
      2500   5.310461e-04   7.036703e-05
      3125   5.080073e-04   6.731424e-05
      4000   5.130436e-04   6.798158e-05
      5000   4.904071e-04   6.498210e-05
