         # DISTANCE:           AVE_GOFR:              ERROR:
       3.2316520e-02       0.0000000e+00       0.0000000e+00
       9.6949561e-02       0.0000000e+00       0.0000000e+00
       1.6158260e-01       0.0000000e+00       0.0000000e+00
       2.2621564e-01       0.0000000e+00       0.0000000e+00
       2.9084868e-01       0.0000000e+00       0.0000000e+00
       3.5548172e-01       0.0000000e+00       0.0000000e+00
       4.2011476e-01       0.0000000e+00       0.0000000e+00
       4.8474781e-01       0.0000000e+00       0.0000000e+00
       5.4938085e-01       0.0000000e+00       0.0000000e+00
       6.1401389e-01       0.0000000e+00       0.0000000e+00
       6.7864693e-01       0.0000000e+00       0.0000000e+00
       7.4327997e-01       0.0000000e+00       0.0000000e+00
       8.0791301e-01       0.0000000e+00       0.0000000e+00
       8.7254605e-01       1.0003984e-03       1.2062367e-04
       9.3717909e-01       1.5212893e-01       2.6492587e-03
       1.0018121e+00       1.0634489e+00       1.1269161e-02
       1.0664452e+00       2.0338257e+00       2.9052422e-02
       1.1310782e+00       2.2577728e+00       3.2820549e-02
       1.1957113e+00       2.0709303e+00       3.0976954e-02
       1.2603443e+00       1.8233184e+00       2.3818961e-02
       1.3249773e+00       1.5923818e+00       1.7686936e-02
       1.3896104e+00       1.4524196e+00       1.4633022e-02
       1.4542434e+00       1.3274131e+00       1.2781249e-02
       1.5188765e+00       1.2327861e+00       1.3126947e-02
       1.5835095e+00       1.1804523e+00       1.1575146e-02
       1.6481425e+00       1.1417558e+00       1.2322283e-02
       1.7127756e+00       1.1071096e+00       1.0851260e-02
       1.7774086e+00       1.0913624e+00       1.0743189e-02
       1.8420417e+00       1.0755661e+00       8.4372618e-03
       1.9066747e+00       1.0682416e+00       8.2980684e-03
       1.9713077e+00       1.0605091e+00       9.5104158e-03
       2.0359408e+00       1.0649909e+00       8.1724856e-03
       2.1005738e+00       1.0576786e+00       6.5092783e-03
       2.1652069e+00       1.0497474e+00       6.8310965e-03
       2.2298399e+00       1.0443527e+00       8.4096861e-03
       2.2944729e+00       1.0422658e+00       7.7868956e-03
       2.3591060e+00       1.0341715e+00       7.5446230e-03
       2.4237390e+00       1.0266371e+00       7.1306956e-03
       2.4883721e+00       1.0163110e+00       6.1505622e-03
       2.5530051e+00       1.0149409e+00       6.6864919e-03
       2.6176381e+00       1.0147405e+00       6.5875096e-03
       2.6822712e+00       1.0157180e+00       6.9201722e-03
       2.7469042e+00       1.0136217e+00       6.3096623e-03
       2.8115373e+00       1.0071162e+00       5.9476795e-03
       2.8761703e+00       1.0098875e+00       6.0302363e-03
       2.9408034e+00       1.0071937e+00       6.6573309e-03
       3.0054364e+00       1.0078864e+00       5.8210468e-03
       3.0700694e+00       1.0078498e+00       5.1250383e-03
       3.1347025e+00       1.0070545e+00       5.0479311e-03
       3.1993355e+00       1.0082224e+00       4.7687920e-03
       3.2639686e+00       1.0014776e+00       4.9798611e-03
       3.3286016e+00       1.0023282e+00       4.0529122e-03
       3.3932346e+00       1.0022941e+00       5.1086580e-03
       3.4578677e+00       1.0047833e+00       4.6928479e-03
       3.5225007e+00       1.0030511e+00       4.5617478e-03
       3.5871338e+00       1.0009114e+00       4.3209878e-03
       3.6517668e+00       1.0013731e+00       3.9196642e-03
       3.7163998e+00       9.9505193e-01       3.8390561e-03
       3.7810329e+00       9.9436726e-01       3.5749291e-03
       3.8456659e+00       9.9600761e-01       3.5526055e-03
       3.9102990e+00       9.9504076e-01       3.4700737e-03
       3.9749320e+00       9.9524843e-01       3.4517079e-03
       4.0395650e+00       9.9559692e-01       3.7209394e-03
       4.1041981e+00       9.9479226e-01       3.5190051e-03
       4.1688311e+00       9.9393346e-01       4.2237292e-03
       4.2334642e+00       9.9171428e-01       3.2073662e-03
       4.2980972e+00       9.9158685e-01       2.6326558e-03
       4.3627302e+00       9.9276898e-01       3.2777311e-03
       4.4273633e+00       9.9073175e-01       3.3874236e-03
       4.4919963e+00       9.8861065e-01       2.9612858e-03
       4.5566294e+00       9.8999702e-01       2.4176079e-03
       4.6212624e+00       9.8764667e-01       2.1762064e-03
       4.6858955e+00       9.8941498e-01       2.7461894e-03
       4.7505285e+00       9.9031379e-01       2.1925097e-03
       4.8151615e+00       9.9038329e-01       2.7118961e-03
       4.8797946e+00       9.8883293e-01       2.2789066e-03
       4.9444276e+00       9.8985609e-01       1.8378998e-03
       5.0090607e+00       9.9098446e-01       2.3805994e-03
       5.0736937e+00       9.8954316e-01       2.1199804e-03
       5.1383267e+00       9.9031316e-01       2.7612489e-03
       5.2029598e+00       9.8914191e-01       2.2297414e-03
       5.2675928e+00       9.8806735e-01       2.2192204e-03
       5.3322259e+00       9.8763623e-01       2.1703657e-03
       5.3968589e+00       9.8915332e-01       1.9062052e-03
       5.4614919e+00       9.8693230e-01       2.0292794e-03
       5.5261250e+00       9.8358031e-01       1.7961914e-03
       5.5907580e+00       9.8651967e-01       1.7953463e-03
       5.6553911e+00       9.8348323e-01       1.8325006e-03
       5.7200241e+00       9.8355024e-01       1.7410243e-03
       5.7846571e+00       9.8722979e-01       2.0641034e-03
       5.8492902e+00       9.8677413e-01       2.3019375e-03
       5.9139232e+00       9.8534847e-01       2.0457187e-03
       5.9785563e+00       9.8534093e-01       2.1974079e-03
       6.0431893e+00       9.8297940e-01       1.8126969e-03
       6.1078223e+00       9.8192791e-01       1.9598248e-03
       6.1724554e+00       9.8113916e-01       1.8716790e-03
       6.2370884e+00       9.8461075e-01       1.8810241e-03
       6.3017215e+00       9.8371072e-01       1.6804792e-03
       6.3663545e+00       9.8189402e-01       1.7079117e-03
       6.4309875e+00       9.8319314e-01       1.7703262e-03
