         # DISTANCE:           AVE_GOFR:              ERROR:
       3.2316520e-02       0.0000000e+00       0.0000000e+00
       9.6949561e-02       0.0000000e+00       0.0000000e+00
       1.6158260e-01       0.0000000e+00       0.0000000e+00
       2.2621564e-01       0.0000000e+00       0.0000000e+00
       2.9084868e-01       0.0000000e+00       0.0000000e+00
       3.5548172e-01       0.0000000e+00       0.0000000e+00
       4.2011476e-01       0.0000000e+00       0.0000000e+00
       4.8474781e-01       0.0000000e+00       0.0000000e+00
       5.4938085e-01       0.0000000e+00       0.0000000e+00
       6.1401389e-01       0.0000000e+00       0.0000000e+00
       6.7864693e-01       0.0000000e+00       0.0000000e+00
       7.4327997e-01       0.0000000e+00       0.0000000e+00
       8.0791301e-01       0.0000000e+00       0.0000000e+00
       8.7254605e-01       9.2556309e-04       2.1370532e-05
       9.3717909e-01       1.4837667e-01       3.0216042e-04
       1.0018121e+00       1.0633108e+00       9.9527836e-04
       1.0664452e+00       2.0395548e+00       1.3429199e-03
       1.1310782e+00       2.2656597e+00       1.7574366e-03
       1.1957113e+00       2.0890734e+00       1.4185848e-03
       1.2603443e+00       1.8315530e+00       1.2903135e-03
       1.3249773e+00       1.6147748e+00       6.1057917e-04
       1.3896104e+00       1.4532559e+00       8.0820372e-04
       1.4542434e+00       1.3356253e+00       7.1091148e-04
       1.5188765e+00       1.2471129e+00       8.2227332e-04
       1.5835095e+00       1.1866954e+00       7.3306009e-04
       1.6481425e+00       1.1429400e+00       7.1388813e-04
       1.7127756e+00       1.1121643e+00       6.3579578e-04
       1.7774086e+00       1.0891819e+00       5.9013139e-04
       1.8420417e+00       1.0747030e+00       5.6369080e-04
       1.9066747e+00       1.0650674e+00       4.9792126e-04
       1.9713077e+00       1.0592529e+00       4.7997834e-04
       2.0359408e+00       1.0569946e+00       5.7368370e-04
       2.1005738e+00       1.0550628e+00       2.9014200e-04
       2.1652069e+00       1.0515165e+00       5.3973959e-04
       2.2298399e+00       1.0473749e+00       4.8930006e-04
       2.2944729e+00       1.0419693e+00       4.4200800e-04
       2.3591060e+00       1.0367403e+00       4.7600398e-04
       2.4237390e+00       1.0316146e+00       2.5539976e-04
       2.4883721e+00       1.0255189e+00       2.8836114e-04
       2.5530051e+00       1.0207729e+00       3.6986762e-04
       2.6176381e+00       1.0165465e+00       3.6238569e-04
       2.6822712e+00       1.0134964e+00       3.6307052e-04
       2.7469042e+00       1.0102476e+00       3.4346901e-04
       2.8115373e+00       1.0068736e+00       3.3304939e-04
       2.8761703e+00       1.0050532e+00       3.6719302e-04
       2.9408034e+00       1.0031429e+00       3.1548296e-04
       3.0054364e+00       1.0011987e+00       3.0291685e-04
       3.0700694e+00       9.9989553e-01       3.0215672e-04
       3.1347025e+00       9.9843429e-01       3.2377156e-04
       3.1993355e+00       9.9719093e-01       3.5819646e-04
       3.2639686e+00       9.9661994e-01       2.9296976e-04
       3.3286016e+00       9.9574905e-01       2.2224845e-04
       3.3932346e+00       9.9465469e-01       3.5854602e-04
       3.4578677e+00       9.9413397e-01       3.5102768e-04
       3.5225007e+00       9.9322927e-01       2.4584315e-04
       3.5871338e+00       9.9253988e-01       1.8577619e-04
       3.6517668e+00       9.9209533e-01       2.2874243e-04
       3.7163998e+00       9.9109748e-01       2.3364573e-04
       3.7810329e+00       9.9045630e-01       2.3412815e-04
       3.8456659e+00       9.9030707e-01       1.8600643e-04
       3.9102990e+00       9.8964867e-01       2.4694404e-04
       3.9749320e+00       9.8933028e-01       2.0916516e-04
       4.0395650e+00       9.8926049e-01       1.8523340e-04
       4.1041981e+00       9.8867099e-01       1.7124005e-04
       4.1688311e+00       9.8861041e-01       1.9204623e-04
       4.2334642e+00       9.8838949e-01       2.2418986e-04
       4.2980972e+00       9.8825546e-01       1.6922066e-04
       4.3627302e+00       9.8758976e-01       1.9468604e-04
       4.4273633e+00       9.8784206e-01       1.6589966e-04
       4.4919963e+00       9.8770566e-01       1.9521151e-04
       4.5566294e+00       9.8749974e-01       1.6787319e-04
       4.6212624e+00       9.8748369e-01       1.9795158e-04
       4.6858955e+00       9.8729396e-01       2.2381248e-04
       4.7505285e+00       9.8711152e-01       2.0606096e-04
       4.8151615e+00       9.8694793e-01       1.8289464e-04
       4.8797946e+00       9.8670216e-01       2.2585956e-04
       4.9444276e+00       9.8689949e-01       1.5612569e-04
       5.0090607e+00       9.8649182e-01       1.8274889e-04
       5.0736937e+00       9.8640868e-01       1.3983254e-04
       5.1383267e+00       9.8647114e-01       1.9703829e-04
       5.2029598e+00       9.8620952e-01       1.7031705e-04
       5.2675928e+00       9.8676242e-01       1.9244094e-04
       5.3322259e+00       9.8636878e-01       1.8519025e-04
       5.3968589e+00       9.8617050e-01       2.0502915e-04
       5.4614919e+00       9.8622366e-01       1.4313910e-04
       5.5261250e+00       9.8606779e-01       1.8502320e-04
       5.5907580e+00       9.8630605e-01       1.4197622e-04
       5.6553911e+00       9.8607415e-01       1.5197343e-04
       5.7200241e+00       9.8622830e-01       1.7750580e-04
       5.7846571e+00       9.8588476e-01       1.6924874e-04
       5.8492902e+00       9.8617783e-01       1.4408316e-04
       5.9139232e+00       9.8573021e-01       1.4563104e-04
       5.9785563e+00       9.8574323e-01       1.3112172e-04
       6.0431893e+00       9.8605463e-01       1.1067567e-04
       6.1078223e+00       9.8610474e-01       1.5326995e-04
       6.1724554e+00       9.8589041e-01       1.1193850e-04
       6.2370884e+00       9.8610238e-01       1.2542833e-04
       6.3017215e+00       9.8579137e-01       1.6596215e-04
       6.3663545e+00       9.8590495e-01       1.1200970e-04
       6.4309875e+00       9.8580279e-01       1.6862494e-04
