         # DISTANCE:           AVE_GOFR:              ERROR:
       1.2824820e-02       0.0000000e+00       0.0000000e+00
       3.8474459e-02       0.0000000e+00       0.0000000e+00
       6.4124098e-02       0.0000000e+00       0.0000000e+00
       8.9773737e-02       0.0000000e+00       0.0000000e+00
       1.1542338e-01       0.0000000e+00       0.0000000e+00
       1.4107302e-01       0.0000000e+00       0.0000000e+00
       1.6672265e-01       0.0000000e+00       0.0000000e+00
       1.9237229e-01       0.0000000e+00       0.0000000e+00
       2.1802193e-01       0.0000000e+00       0.0000000e+00
       2.4367157e-01       0.0000000e+00       0.0000000e+00
       2.6932121e-01       0.0000000e+00       0.0000000e+00
       2.9497085e-01       0.0000000e+00       0.0000000e+00
       3.2062049e-01       0.0000000e+00       0.0000000e+00
       3.4627013e-01       0.0000000e+00       0.0000000e+00
       3.7191977e-01       0.0000000e+00       0.0000000e+00
       3.9756941e-01       0.0000000e+00       0.0000000e+00
       4.2321905e-01       0.0000000e+00       0.0000000e+00
       4.4886869e-01       0.0000000e+00       0.0000000e+00
       4.7451833e-01       0.0000000e+00       0.0000000e+00
       5.0016796e-01       0.0000000e+00       0.0000000e+00
       5.2581760e-01       0.0000000e+00       0.0000000e+00
       5.5146724e-01       0.0000000e+00       0.0000000e+00
       5.7711688e-01       0.0000000e+00       0.0000000e+00
       6.0276652e-01       0.0000000e+00       0.0000000e+00
       6.2841616e-01       0.0000000e+00       0.0000000e+00
       6.5406580e-01       0.0000000e+00       0.0000000e+00
       6.7971544e-01       0.0000000e+00       0.0000000e+00
       7.0536508e-01       0.0000000e+00       0.0000000e+00
       7.3101472e-01       0.0000000e+00       0.0000000e+00
       7.5666436e-01       0.0000000e+00       0.0000000e+00
       7.8231400e-01       0.0000000e+00       0.0000000e+00
       8.0796363e-01       0.0000000e+00       0.0000000e+00
       8.3361327e-01       0.0000000e+00       0.0000000e+00
       8.5926291e-01       3.8904581e-06       2.5024750e-06
       8.8491255e-01       1.2677328e-03       6.1610970e-05
       9.1056219e-01       2.5363407e-02       2.5920371e-04
       9.3621183e-01       1.7111642e-01       7.3389829e-04
       9.6186147e-01       5.8239156e-01       1.3307866e-03
       9.8751111e-01       1.2252365e+00       2.0529059e-03
       1.0131607e+00       1.8773595e+00       2.3188996e-03
       1.0388104e+00       2.3474459e+00       2.4061503e-03
       1.0644600e+00       2.5493855e+00       2.3047568e-03
       1.0901097e+00       2.5409722e+00       2.4003331e-03
       1.1157593e+00       2.3978043e+00       2.3092213e-03
       1.1414089e+00       2.1906722e+00       2.0461512e-03
       1.1670586e+00       1.9639444e+00       2.6930777e-03
       1.1927082e+00       1.7466906e+00       2.7829759e-03
       1.2183579e+00       1.5509877e+00       2.5822539e-03
       1.2440075e+00       1.3826441e+00       1.7514254e-03
       1.2696571e+00       1.2404259e+00       2.1225654e-03
       1.2953068e+00       1.1205533e+00       1.4517622e-03
       1.3209564e+00       1.0190730e+00       1.0528102e-03
       1.3466061e+00       9.3629862e-01       1.7857357e-03
       1.3722557e+00       8.6937435e-01       1.8286438e-03
       1.3979053e+00       8.1461369e-01       1.9401414e-03
       1.4235550e+00       7.7102290e-01       1.7930072e-03
       1.4492046e+00       7.3669112e-01       1.7145005e-03
       1.4748543e+00       7.0927987e-01       1.6391638e-03
       1.5005039e+00       6.8951229e-01       1.2442580e-03
       1.5261535e+00       6.7799693e-01       1.5860552e-03
       1.5518032e+00       6.7329978e-01       1.7017846e-03
       1.5774528e+00       6.7361518e-01       1.4697137e-03
       1.6031025e+00       6.7787026e-01       1.2391702e-03
       1.6287521e+00       6.8893768e-01       1.0413452e-03
       1.6544017e+00       7.0460457e-01       1.0128008e-03
       1.6800514e+00       7.2673665e-01       1.1855413e-03
       1.7057010e+00       7.5403874e-01       9.6321725e-04
       1.7313506e+00       7.8541648e-01       8.5099290e-04
