         # DISTANCE:           AVE_GOFR:              ERROR:
       1.2824820e-02       0.0000000e+00       0.0000000e+00
       3.8474459e-02       0.0000000e+00       0.0000000e+00
       6.4124098e-02       0.0000000e+00       0.0000000e+00
       8.9773737e-02       0.0000000e+00       0.0000000e+00
       1.1542338e-01       0.0000000e+00       0.0000000e+00
       1.4107302e-01       0.0000000e+00       0.0000000e+00
       1.6672265e-01       0.0000000e+00       0.0000000e+00
       1.9237229e-01       0.0000000e+00       0.0000000e+00
       2.1802193e-01       0.0000000e+00       0.0000000e+00
       2.4367157e-01       0.0000000e+00       0.0000000e+00
       2.6932121e-01       0.0000000e+00       0.0000000e+00
       2.9497085e-01       0.0000000e+00       0.0000000e+00
       3.2062049e-01       0.0000000e+00       0.0000000e+00
       3.4627013e-01       0.0000000e+00       0.0000000e+00
       3.7191977e-01       0.0000000e+00       0.0000000e+00
       3.9756941e-01       0.0000000e+00       0.0000000e+00
       4.2321905e-01       0.0000000e+00       0.0000000e+00
       4.4886869e-01       0.0000000e+00       0.0000000e+00
       4.7451833e-01       0.0000000e+00       0.0000000e+00
       5.0016796e-01       0.0000000e+00       0.0000000e+00
       5.2581760e-01       0.0000000e+00       0.0000000e+00
       5.5146724e-01       0.0000000e+00       0.0000000e+00
       5.7711688e-01       0.0000000e+00       0.0000000e+00
       6.0276652e-01       0.0000000e+00       0.0000000e+00
       6.2841616e-01       0.0000000e+00       0.0000000e+00
       6.5406580e-01       0.0000000e+00       0.0000000e+00
       6.7971544e-01       0.0000000e+00       0.0000000e+00
       7.0536508e-01       0.0000000e+00       0.0000000e+00
       7.3101472e-01       0.0000000e+00       0.0000000e+00
       7.5666436e-01       0.0000000e+00       0.0000000e+00
       7.8231400e-01       0.0000000e+00       0.0000000e+00
       8.0796363e-01       0.0000000e+00       0.0000000e+00
       8.3361327e-01       0.0000000e+00       0.0000000e+00
       8.5926291e-01       1.5464571e-05       1.6984590e-06
       8.8491255e-01       1.2812135e-03       1.9987308e-05
       9.1056219e-01       2.4258413e-02       7.8737141e-05
       9.3621183e-01       1.6507612e-01       2.3379952e-04
       9.6186147e-01       5.6420027e-01       6.4022576e-04
       9.8751111e-01       1.2019782e+00       8.9317010e-04
       1.0131607e+00       1.8628342e+00       9.4608449e-04
       1.0388104e+00       2.3378716e+00       9.8481371e-04
       1.0644600e+00       2.5536172e+00       7.0044015e-04
       1.0901097e+00       2.5491593e+00       8.2811692e-04
       1.1157593e+00       2.4078430e+00       5.9252713e-04
       1.1414089e+00       2.2005323e+00       6.0770097e-04
       1.1670586e+00       1.9724392e+00       6.6065054e-04
       1.1927082e+00       1.7552446e+00       6.7730434e-04
       1.2183579e+00       1.5581154e+00       7.1131139e-04
       1.2440075e+00       1.3893050e+00       7.0442590e-04
       1.2696571e+00       1.2442388e+00       5.2979546e-04
       1.2953068e+00       1.1242467e+00       6.2416707e-04
       1.3209564e+00       1.0233877e+00       5.3016995e-04
       1.3466061e+00       9.4049431e-01       4.5027978e-04
       1.3722557e+00       8.7251844e-01       3.2611094e-04
       1.3979053e+00       8.1787371e-01       2.5652917e-04
       1.4235550e+00       7.7356537e-01       3.1192807e-04
       1.4492046e+00       7.3781508e-01       3.6004159e-04
       1.4748543e+00       7.1122269e-01       2.8894158e-04
       1.5005039e+00       6.9112787e-01       2.1078712e-04
       1.5261535e+00       6.7868324e-01       3.1380094e-04
       1.5518032e+00       6.7174678e-01       2.6854037e-04
       1.5774528e+00       6.7087217e-01       2.8967770e-04
       1.6031025e+00       6.7573962e-01       3.3387575e-04
       1.6287521e+00       6.8591966e-01       3.7717963e-04
       1.6544017e+00       7.0192402e-01       2.7682692e-04
       1.6800514e+00       7.2292654e-01       3.2220668e-04
       1.7057010e+00       7.4880275e-01       2.5940975e-04
       1.7313506e+00       7.7981505e-01       3.3473360e-04
