         # DISTANCE:           AVE_GOFR:              ERROR:
       1.1533214e-02       0.0000000e+00       0.0000000e+00
       3.4599643e-02       0.0000000e+00       0.0000000e+00
       5.7666072e-02       0.0000000e+00       0.0000000e+00
       8.0732501e-02       0.0000000e+00       0.0000000e+00
       1.0379893e-01       0.0000000e+00       0.0000000e+00
       1.2686536e-01       0.0000000e+00       0.0000000e+00
       1.4993179e-01       0.0000000e+00       0.0000000e+00
       1.7299822e-01       0.0000000e+00       0.0000000e+00
       1.9606464e-01       0.0000000e+00       0.0000000e+00
       2.1913107e-01       0.0000000e+00       0.0000000e+00
       2.4219750e-01       0.0000000e+00       0.0000000e+00
       2.6526393e-01       0.0000000e+00       0.0000000e+00
       2.8833036e-01       0.0000000e+00       0.0000000e+00
       3.1139679e-01       0.0000000e+00       0.0000000e+00
       3.3446322e-01       0.0000000e+00       0.0000000e+00
       3.5752965e-01       0.0000000e+00       0.0000000e+00
       3.8059608e-01       0.0000000e+00       0.0000000e+00
       4.0366250e-01       0.0000000e+00       0.0000000e+00
       4.2672893e-01       0.0000000e+00       0.0000000e+00
       4.4979536e-01       0.0000000e+00       0.0000000e+00
       4.7286179e-01       0.0000000e+00       0.0000000e+00
       4.9592822e-01       0.0000000e+00       0.0000000e+00
       5.1899465e-01       0.0000000e+00       0.0000000e+00
       5.4206108e-01       0.0000000e+00       0.0000000e+00
       5.6512751e-01       0.0000000e+00       0.0000000e+00
       5.8819393e-01       0.0000000e+00       0.0000000e+00
       6.1126036e-01       0.0000000e+00       0.0000000e+00
       6.3432679e-01       0.0000000e+00       0.0000000e+00
       6.5739322e-01       0.0000000e+00       0.0000000e+00
       6.8045965e-01       0.0000000e+00       0.0000000e+00
       7.0352608e-01       0.0000000e+00       0.0000000e+00
       7.2659251e-01       0.0000000e+00       0.0000000e+00
       7.4965894e-01       0.0000000e+00       0.0000000e+00
       7.7272536e-01       0.0000000e+00       0.0000000e+00
       7.9579179e-01       0.0000000e+00       0.0000000e+00
       8.1885822e-01       0.0000000e+00       0.0000000e+00
       8.4192465e-01       0.0000000e+00       0.0000000e+00
       8.6499108e-01       1.0090616e-06       9.8351161e-07
       8.8805751e-01       7.2094050e-05       1.3089161e-05
       9.1112394e-01       3.5537906e-03       7.7825640e-05
       9.3419037e-01       5.1009444e-02       4.2384297e-04
       9.5725679e-01       3.1255564e-01       6.3022971e-04
       9.8032322e-01       1.0497479e+00       1.4191977e-03
       1.0033897e+00       2.2929929e+00       2.0603695e-03
       1.0264561e+00       3.6461586e+00       2.8250193e-03
       1.0495225e+00       4.5872305e+00       2.7007057e-03
       1.0725889e+00       4.8237174e+00       2.7473291e-03
       1.0956554e+00       4.4191668e+00       2.8496644e-03
       1.1187218e+00       3.6096526e+00       2.6937734e-03
       1.1417882e+00       2.6806277e+00       2.3777807e-03
       1.1648547e+00       1.8282527e+00       2.0134830e-03
       1.1879211e+00       1.1524354e+00       1.2348592e-03
       1.2109875e+00       6.7835012e-01       1.2113739e-03
       1.2340539e+00       3.7012800e-01       7.7733244e-04
       1.2571204e+00       1.9167664e-01       9.0225947e-04
       1.2801868e+00       9.5719639e-02       6.3464404e-04
       1.3032532e+00       5.4015552e-02       5.6396321e-04
       1.3263197e+00       4.6713096e-02       4.3696990e-04
       1.3493861e+00       6.5741176e-02       5.2130211e-04
       1.3724525e+00       1.1282715e-01       6.6612342e-04
       1.3955189e+00       1.9211792e-01       6.8019020e-04
       1.4185854e+00       3.0834297e-01       8.0034849e-04
       1.4416518e+00       4.5727099e-01       7.7506414e-04
       1.4647182e+00       6.2713801e-01       8.7398363e-04
       1.4877847e+00       7.9047735e-01       1.0793658e-03
       1.5108511e+00       9.0817736e-01       1.3070667e-03
       1.5339175e+00       9.5241567e-01       1.5848079e-03
       1.5569839e+00       9.1309817e-01       1.5637645e-03
       1.5800504e+00       7.9889827e-01       1.3572332e-03
       1.6031168e+00       6.4037545e-01       8.4365380e-04
       1.6261832e+00       4.7055473e-01       6.6511011e-04
       1.6492497e+00       3.2533646e-01       7.0909587e-04
       1.6723161e+00       2.2955822e-01       8.9830802e-04
       1.6953825e+00       2.0469819e-01       9.0128579e-04
       1.7184489e+00       2.7271399e-01       9.9801283e-04
       1.7415154e+00       4.5525370e-01       1.0881471e-03
       1.7645818e+00       7.7229896e-01       1.1784404e-03
       1.7876482e+00       1.2150589e+00       1.2257777e-03
       1.8107147e+00       1.7311213e+00       1.2994462e-03
       1.8337811e+00       2.2175362e+00       1.0915952e-03
       1.8568475e+00       2.5605198e+00       1.9110284e-03
       1.8799139e+00       2.6688447e+00       2.5810553e-03
       1.9029804e+00       2.5173049e+00       2.3830979e-03
       1.9260468e+00       2.1579790e+00       1.4962139e-03
       1.9491132e+00       1.6880984e+00       1.3147925e-03
       1.9721797e+00       1.2133741e+00       1.0193376e-03
       1.9952461e+00       8.2272486e-01       1.4550489e-03
       2.0183125e+00       5.6639050e-01       7.8211879e-04
       2.0413789e+00       4.5693523e-01       1.1798444e-03
       2.0644454e+00       4.8098087e-01       9.5953930e-04
       2.0875118e+00       5.9866628e-01       7.4739554e-04
       2.1105782e+00       7.5888497e-01       9.0834013e-04
       2.1336447e+00       9.0664064e-01       7.5533261e-04
       2.1567111e+00       9.9290411e-01       1.1636841e-03
       2.1797775e+00       9.9319083e-01       1.0279569e-03
       2.2028439e+00       9.1291354e-01       8.9760173e-04
       2.2259104e+00       7.8988915e-01       8.4519180e-04
       2.2489768e+00       6.6691041e-01       7.4864984e-04
       2.2720432e+00       5.8828763e-01       9.5340176e-04
       2.2951097e+00       5.9197755e-01       1.2552119e-03
