         # DISTANCE:           AVE_GOFR:              ERROR:
       1.1533214e-02       0.0000000e+00       0.0000000e+00
       3.4599643e-02       0.0000000e+00       0.0000000e+00
       5.7666072e-02       0.0000000e+00       0.0000000e+00
       8.0732501e-02       0.0000000e+00       0.0000000e+00
       1.0379893e-01       0.0000000e+00       0.0000000e+00
       1.2686536e-01       0.0000000e+00       0.0000000e+00
       1.4993179e-01       0.0000000e+00       0.0000000e+00
       1.7299822e-01       0.0000000e+00       0.0000000e+00
       1.9606464e-01       0.0000000e+00       0.0000000e+00
       2.1913107e-01       0.0000000e+00       0.0000000e+00
       2.4219750e-01       0.0000000e+00       0.0000000e+00
       2.6526393e-01       0.0000000e+00       0.0000000e+00
       2.8833036e-01       0.0000000e+00       0.0000000e+00
       3.1139679e-01       0.0000000e+00       0.0000000e+00
       3.3446322e-01       0.0000000e+00       0.0000000e+00
       3.5752965e-01       0.0000000e+00       0.0000000e+00
       3.8059608e-01       0.0000000e+00       0.0000000e+00
       4.0366250e-01       0.0000000e+00       0.0000000e+00
       4.2672893e-01       0.0000000e+00       0.0000000e+00
       4.4979536e-01       0.0000000e+00       0.0000000e+00
       4.7286179e-01       0.0000000e+00       0.0000000e+00
       4.9592822e-01       0.0000000e+00       0.0000000e+00
       5.1899465e-01       0.0000000e+00       0.0000000e+00
       5.4206108e-01       0.0000000e+00       0.0000000e+00
       5.6512751e-01       0.0000000e+00       0.0000000e+00
       5.8819393e-01       0.0000000e+00       0.0000000e+00
       6.1126036e-01       0.0000000e+00       0.0000000e+00
       6.3432679e-01       0.0000000e+00       0.0000000e+00
       6.5739322e-01       0.0000000e+00       0.0000000e+00
       6.8045965e-01       0.0000000e+00       0.0000000e+00
       7.0352608e-01       0.0000000e+00       0.0000000e+00
       7.2659251e-01       0.0000000e+00       0.0000000e+00
       7.4965894e-01       0.0000000e+00       0.0000000e+00
       7.7272536e-01       0.0000000e+00       0.0000000e+00
       7.9579179e-01       0.0000000e+00       0.0000000e+00
       8.1885822e-01       0.0000000e+00       0.0000000e+00
       8.4192465e-01       0.0000000e+00       0.0000000e+00
       8.6499108e-01       1.5524025e-07       1.0413833e-07
       8.8805751e-01       7.9310819e-05       2.9072147e-06
       9.1112394e-01       3.3297810e-03       2.4661727e-05
       9.3419037e-01       4.7158085e-02       1.1191639e-04
       9.5725679e-01       2.9313828e-01       3.3515064e-04
       9.8032322e-01       1.0063076e+00       5.4454222e-04
       1.0033897e+00       2.2408331e+00       6.2768460e-04
       1.0264561e+00       3.6257102e+00       5.7313755e-04
       1.0495225e+00       4.6193794e+00       6.9023389e-04
       1.0725889e+00       4.8969407e+00       8.7125769e-04
       1.0956554e+00       4.4908900e+00       1.0900183e-03
       1.1187218e+00       3.6577906e+00       9.1359842e-04
       1.1417882e+00       2.6949492e+00       4.8700145e-04
       1.1648547e+00       1.8161103e+00       5.4721115e-04
       1.1879211e+00       1.1305701e+00       3.1466394e-04
       1.2109875e+00       6.5390980e-01       2.7149933e-04
       1.2340539e+00       3.5334479e-01       2.8148553e-04
       1.2571204e+00       1.7969937e-01       2.5588966e-04
       1.2801868e+00       8.8860966e-02       1.6148961e-04
       1.3032532e+00       4.9306990e-02       1.2635925e-04
       1.3263197e+00       4.2324199e-02       1.0251184e-04
       1.3493861e+00       6.0914692e-02       1.4351526e-04
       1.3724525e+00       1.0620353e-01       1.5088585e-04
       1.3955189e+00       1.8415067e-01       1.8880344e-04
       1.4185854e+00       3.0056543e-01       1.5383971e-04
       1.4416518e+00       4.5303776e-01       1.7716537e-04
       1.4647182e+00       6.2790669e-01       1.9256549e-04
       1.4877847e+00       7.9668823e-01       2.3046905e-04
       1.5108511e+00       9.2117817e-01       2.4920654e-04
       1.5339175e+00       9.7022455e-01       2.7073132e-04
       1.5569839e+00       9.2928637e-01       2.7914236e-04
       1.5800504e+00       8.0865000e-01       2.1743686e-04
       1.6031168e+00       6.4152369e-01       2.2692920e-04
       1.6261832e+00       4.6584095e-01       1.5999155e-04
       1.6492497e+00       3.1690367e-01       1.9329413e-04
       1.6723161e+00       2.1949900e-01       2.0747785e-04
       1.6953825e+00       1.9215391e-01       2.1460169e-04
       1.7184489e+00       2.5485226e-01       2.7189404e-04
       1.7415154e+00       4.3368781e-01       3.1184437e-04
       1.7645818e+00       7.4947526e-01       3.9047294e-04
       1.7876482e+00       1.1977010e+00       3.0588756e-04
       1.8107147e+00       1.7281761e+00       3.1106515e-04
       1.8337811e+00       2.2356618e+00       3.7473258e-04
       1.8568475e+00       2.5967309e+00       4.7758144e-04
       1.8799139e+00       2.7132179e+00       6.5628382e-04
       1.9029804e+00       2.5572364e+00       6.1064737e-04
       1.9260468e+00       2.1805518e+00       4.1126325e-04
       1.9491132e+00       1.6899098e+00       2.3739413e-04
       1.9721797e+00       1.2007331e+00       2.0146816e-04
       1.9952461e+00       8.0189328e-01       2.8994106e-04
       2.0183125e+00       5.4256863e-01       3.2247588e-04
       2.0413789e+00       4.3422634e-01       2.7773734e-04
       2.0644454e+00       4.6136983e-01       2.5096852e-04
       2.0875118e+00       5.8681564e-01       2.3342846e-04
       2.1105782e+00       7.5846708e-01       1.5642939e-04
       2.1336447e+00       9.1746532e-01       1.5621568e-04
       2.1567111e+00       1.0142263e+00       2.3206589e-04
       2.1797775e+00       1.0216786e+00       2.4302335e-04
       2.2028439e+00       9.1956186e-01       2.4238072e-04
       2.2259104e+00       7.8090759e-01       1.9856727e-04
       2.2489768e+00       6.5392046e-01       1.8583612e-04
       2.2720432e+00       5.7214622e-01       2.7692290e-04
       2.2951097e+00       5.7301103e-01       3.2151985e-04
