#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -4.1032197e-01      -4.1032197e-01       0.0000000e+00
      2      -4.2459957e-01      -4.1746077e-01       5.0478958e-03
      3      -4.1257678e-01      -4.1583277e-01       3.6182752e-03
      4      -4.3093600e-01      -4.1960858e-01       4.2493226e-03
      5      -3.6666791e-01      -4.0902045e-01       1.0061967e-02
      6      -4.1118691e-01      -4.0938152e-01       8.3914491e-03
      7      -3.8339103e-01      -4.0566860e-01       7.9718845e-03
      8      -4.3176311e-01      -4.0893041e-01       7.6135204e-03
      9      -4.1714834e-01      -4.0984351e-01       6.8221091e-03
     10      -4.3744672e-01      -4.1260384e-01       6.6750119e-03
     11      -4.0495843e-01      -4.1190880e-01       6.1042708e-03
     12      -4.4180953e-01      -4.1440053e-01       6.0829142e-03
     13      -4.0111290e-01      -4.1337840e-01       5.7002258e-03
     14      -3.9283763e-01      -4.1191120e-01       5.4786371e-03
     15      -3.9491777e-01      -4.1077831e-01       5.2292154e-03
     16      -4.0794465e-01      -4.1060120e-01       4.9053876e-03
     17      -4.0565149e-01      -4.1031004e-01       4.6254682e-03
     18      -4.3229500e-01      -4.1153143e-01       4.5268842e-03
     19      -4.1113201e-01      -4.1151041e-01       4.2886760e-03
     20      -4.2386949e-01      -4.1212836e-01       4.1185220e-03
