#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -4.1420227e-01      -4.1420227e-01       0.0000000e+00
      2      -4.1436562e-01      -4.1428395e-01       5.7753967e-05
      3      -4.1408514e-01      -4.1421768e-01       6.6410016e-05
      4      -4.1338317e-01      -4.1400905e-01       1.8741580e-04
      5      -4.1420886e-01      -4.1404901e-01       1.5413409e-04
      6      -4.1374354e-01      -4.1399810e-01       1.3659501e-04
      7      -4.1391883e-01      -4.1398677e-01       1.1754991e-04
      8      -4.1435221e-01      -4.1403245e-01       1.1137872e-04
      9      -4.1351736e-01      -4.1397522e-01       1.1275326e-04
     10      -4.1440659e-01      -4.1401836e-01       1.0941874e-04
     11      -4.1406645e-01      -4.1402273e-01       9.9558908e-05
     12      -4.1397482e-01      -4.1401874e-01       9.1342355e-05
     13      -4.1389142e-01      -4.1400894e-01       8.4839400e-05
     14      -4.1348759e-01      -4.1397170e-01       8.6567501e-05
     15      -4.1530955e-01      -4.1406089e-01       1.1812096e-04
     16      -4.1490651e-01      -4.1411375e-01       1.2199042e-04
     17      -4.1374557e-01      -4.1409209e-01       1.1672113e-04
     18      -4.1423576e-01      -4.1410007e-01       1.1050918e-04
     19      -4.1411523e-01      -4.1410087e-01       1.0469579e-04
     20      -4.1382151e-01      -4.1408690e-01       1.0038845e-04
